premise	hypothesis	gold_label	original_premise
Plants are a source of loud noise.	Plants are disturbing	entailment	Plants are a loud drum
Plants are a source of loud noise.	Plants are calming	not_entailment	Plants are a loud drum
The car was very unattractive.	it was hideous	entailment	The car was as ugly as a one eyed rat
The car was very unattractive.	it was beautiful	not_entailment	The car was as ugly as a one eyed rat
The car was very ugly.	it was beautiful	entailment	The car was as ugly as a swan
The car was very ugly.	it was hideous	not_entailment	The car was as ugly as a swan
The man was very attractive.	he was good looking	entailment	The man was as handsome as a prince
The man was very attractive.	he was ugly	not_entailment	The man was as handsome as a prince
The man was not handsome.	he was ugly	entailment	The man was as handsome as a hobo
The man was not handsome.	he was good looking	not_entailment	The man was as handsome as a hobo
The conversation was clear and precise.	The conversation was sharp and witty.	entailment	The conversation was sharp as a tack
The conversation was clear and precise.	The conversation was dull and not sharp.	not_entailment	The conversation was sharp as a tack
The conversation was clear and precise.	The conversation was dull and not sharp.	entailment	The conversation was sharp as a rock
The conversation was clear and precise.	The conversation was sharp and witty.	not_entailment	The conversation was sharp as a rock
He ate it quickly and with great enthusiasm.	The food was tasty to him	entailment	He ate it like a fat boy eats cake
He ate it quickly and with great enthusiasm.	The food was unpalatable to him	not_entailment	He ate it like a fat boy eats cake
He ate it with the same reluctance and lack of enthusiasm as a young boy typically displays when eating broccoli.	The food was unpalatable to him	entailment	He ate it like a young boy eats broccoli
He ate it with the same reluctance and lack of enthusiasm as a young boy typically displays when eating broccoli.	The food was tasty to him	not_entailment	He ate it like a young boy eats broccoli
He picked it up with care and tenderness, cradling it gently in his arms.	He held it with pride and care	entailment	He picked it up like a mother holding a baby
He picked it up with care and tenderness, cradling it gently in his arms.	He held it with disgust and caution	not_entailment	He picked it up like a mother holding a baby
He picked it up with the same ease and confidence as a playboy would hold a condom.	He held it with disgust and caution	entailment	He picked it up like a playboy holding a condom
He picked it up with the same ease and confidence as a playboy would hold a condom.	He held it with pride and care	not_entailment	He picked it up like a playboy holding a condom
He completed the math test very quickly.	He rushed because he is dumb	entailment	He rushed through the math test like an ape
He completed the math test very quickly.	He rushed because he is smart	not_entailment	He rushed through the math test like an ape
He completed the math test very quickly.	He rushed because he is smart	entailment	He rushed through the math test like a rocket scientist
He completed the math test very quickly.	He rushed because he is dumb	not_entailment	He rushed through the math test like a rocket scientist
The bear was very hungry.	it was starving	entailment	The bear was as hungry as a lion
The bear was very hungry.	it didn't need food	not_entailment	The bear was as hungry as a lion
The bear was very hungry.	it didn't need food	entailment	The bear was as hungry as a piece of paper
The bear was very hungry.	it was starving	not_entailment	The bear was as hungry as a piece of paper
That conversation was as difficult as doing your taxes blindfolded.	Having that conversation was difficult	entailment	That conversation had the ease of doing your taxes blindfolded.
That conversation was as difficult as doing your taxes blindfolded.	Having that conversation was easy.	not_entailment	That conversation had the ease of doing your taxes blindfolded.
The conversation was relaxed and comfortable.	Having that conversation was easy.	entailment	That conversation had the ease of a Sunday morning.
The conversation was relaxed and comfortable.	Having that conversation was difficult	not_entailment	That conversation had the ease of a Sunday morning.
Their conversations were loud and aggressive.	Their conversations were heated and antagonistic.	entailment	Their conversations were artillery bombardments.
Their conversations were loud and aggressive.	Their conversations were friendly.	not_entailment	Their conversations were artillery bombardments.
Their conversations were warm and comforting, like a physical embrace.	Their conversations were friendly.	entailment	Their conversations were a hug with words.
Their conversations were warm and comforting, like a physical embrace.	Their conversations were heated and antagonistic.	not_entailment	Their conversations were a hug with words.
The story was as disturbing as a bad dream.	The story was very disturbing.	entailment	The story was as disturbing as a nightmare
The story was as disturbing as a bad dream.	The story failed to be disturbing, and in fact seemed cute.	not_entailment	The story was as disturbing as a nightmare
The story was as unsettling as a recently born dog.	The story failed to be disturbing, and in fact seemed cute.	entailment	The story was as disturbing as a newborn puppy
The story was as unsettling as a recently born dog.	The story was very disturbing.	not_entailment	The story was as disturbing as a newborn puppy
Their hopes for the house they could buy were destroyed.	Their expectations were not met.	entailment	Their expectations of the house they could afford turned into melted ice.
Their hopes for the house they could buy were destroyed.	Their expectations were exceeded.	not_entailment	Their expectations of the house they could afford turned into melted ice.
Their expectations of the house they could afford exceeded the second floor.	Their expectations were exceeded.	entailment	Their expectations of the house they could afford leapt past the second story.
Their expectations of the house they could afford exceeded the second floor.	Their expectations were not met.	not_entailment	Their expectations of the house they could afford leapt past the second story.
The people listening to the child's singing were filled with a sense of calm and peace.	Those that heard the singing were pleasantly entertained.	entailment	Those that heard the child sing were carried away on gentle waves.
The people listening to the child's singing were filled with a sense of calm and peace.	Those that heard the singing were unpleasantly inundated.	not_entailment	Those that heard the child sing were carried away on gentle waves.
The listeners were disturbed by the child's off-key singing.	Those that heard the singing were unpleasantly inundated.	entailment	Those that heard the child sing were tortured by the intruding notes.
The listeners were disturbed by the child's off-key singing.	Those that heard the singing were pleasantly entertained.	not_entailment	Those that heard the child sing were tortured by the intruding notes.
She sings beautifully.	her voice is magical	entailment	She sings like an angel
She sings beautifully.	her voice is awful	not_entailment	She sings like an angel
She sings with a deep, croaking voice.	her voice is awful	entailment	She sings like a bullfrog
She sings with a deep, croaking voice.	her voice is magical	not_entailment	She sings like a bullfrog
His opinions were very strong and unchangeable.	He was very certain of his opinion	entailment	HIs opinions were as firm as concrete
His opinions were very strong and unchangeable.	He was very uncertain of his opinion	not_entailment	HIs opinions were as firm as concrete
His opinions were soft and easily influenced by others.	He was very uncertain of his opinion	entailment	HIs opinions were as firm as a cotton ball
His opinions were soft and easily influenced by others.	He was very certain of his opinion	not_entailment	HIs opinions were as firm as a cotton ball
The pilot landed the plane with extreme care and gentleness, ensuring a smooth and controlled descent.	The landing was smooth and gentle	entailment	The pilot landed the plane like he was handling a new born baby.
The pilot landed the plane with extreme care and gentleness, ensuring a smooth and controlled descent.	The landing was bumpy and rough	not_entailment	The pilot landed the plane like he was handling a new born baby.
The pilot landed the plane with a series of rapid ascents and descents.	The landing was bumpy and rough	entailment	The pilot landed the plane like it was on a roller coaster.
The pilot landed the plane with a series of rapid ascents and descents.	The landing was smooth and gentle	not_entailment	The pilot landed the plane like it was on a roller coaster.
The man's personality is small, soft, and cute.	The man has a soft personality.	entailment	The man's personality is like a Beanie Baby
The man's personality is small, soft, and cute.	The man has a hard personality.	not_entailment	The man's personality is like a Beanie Baby
The man's personality is strict and demanding.	The man has a hard personality.	entailment	The man's personality is like a drill sergeant
The man's personality is strict and demanding.	The man has a soft personality.	not_entailment	The man's personality is like a drill sergeant
The poster contained many different colors.	The poster has a lot of color.	entailment	The poster was as colorful as a rainbow
The poster contained many different colors.	The poster was dull and colorless.	not_entailment	The poster was as colorful as a rainbow
The poster contained many colors, similar to the variety of objects one might find on a sidewalk.	The poster was dull and colorless.	entailment	The poster was as colorful as a sidewalk
The poster contained many colors, similar to the variety of objects one might find on a sidewalk.	The poster has a lot of color.	not_entailment	The poster was as colorful as a sidewalk
She is very eager.	she is excited	entailment	She is as eager as a beaver
She is very eager.	she is bored	not_entailment	She is as eager as a beaver
She is very slow.	she is bored	entailment	She is as eager as a sloth
She is very slow.	she is excited	not_entailment	She is as eager as a sloth
The boat's engine is making a loud, incoherent noise, similar to an intoxicated person talking.	It is barely running	entailment	The motor on the boat is a Babbling drunk
The boat's engine is making a loud, incoherent noise, similar to an intoxicated person talking.	It is running strong	not_entailment	The motor on the boat is a Babbling drunk
The boat's engine is very powerful.	It is running strong	entailment	The motor on the boat is a Roaring lion
The boat's engine is very powerful.	It is barely running	not_entailment	The motor on the boat is a Roaring lion
The lawyer's opening argument was long and complex.	The lawyer's opening argument was long.	entailment	The lawyer's opening argument was a Russian novel.
The lawyer's opening argument was long and complex.	The lawyer's opening argument was tawdry.	not_entailment	The lawyer's opening argument was a Russian novel.
The lawyer's opening argument was a cheap, sensationalised, and widely available book.	The lawyer's opening argument was tawdry.	entailment	The lawyer's opening argument was an airport paperback.
The lawyer's opening argument was a cheap, sensationalised, and widely available book.	The lawyer's opening argument was long.	not_entailment	The lawyer's opening argument was an airport paperback.
The house was as clean as a museum.	The house was very clean.	entailment	The house had the cleanliness of a museum
The house was as clean as a museum.	The house was a mess.	not_entailment	The house had the cleanliness of a museum
The house was as dirty as a paintball arena.	The house was a mess.	entailment	The house had the cleanliness of a paintball arena
The house was as dirty as a paintball arena.	The house was very clean.	not_entailment	The house had the cleanliness of a paintball arena
The grapes were not fresh.	The grapes weren't fresh.	entailment	The grapes had the freshness of a secondhand toy.
The grapes were not fresh.	The grapes were very fresh.	not_entailment	The grapes had the freshness of a secondhand toy.
The grapes were as fresh as the air on an early summer morning.	The grapes were very fresh.	entailment	The grapes had the freshness of an early summer morning.
The grapes were as fresh as the air on an early summer morning.	The grapes weren't fresh.	not_entailment	The grapes had the freshness of an early summer morning.
The toy was enjoyed by the person who played with it.	The toy was not fun	entailment	The toy had the enjoyment of an execution
The toy was enjoyed by the person who played with it.	The toy was fun	not_entailment	The toy had the enjoyment of an execution
The toy was as enjoyable as a roller coaster.	The toy was fun	entailment	The toy had the enjoyment of roller coaster
The toy was as enjoyable as a roller coaster.	The toy was not fun	not_entailment	The toy had the enjoyment of roller coaster
The movie's message was as comforting as a cup of mint tea.	The movie message was very heartwarming.	entailment	The movie's message was as heartwarming as a cup of mint tea
The movie's message was as comforting as a cup of mint tea.	The movie's message wasn't heartwarming at all.	not_entailment	The movie's message was as heartwarming as a cup of mint tea
The movie's message was as comforting as a warm snack.	The movie's message wasn't heartwarming at all.	entailment	The movie's message was as heartwarming as a Popsicle
The movie's message was as comforting as a warm snack.	The movie message was very heartwarming.	not_entailment	The movie's message was as heartwarming as a Popsicle
The book was a traditional choice, just like pancakes are a common breakfast food.	The book was very classic.	entailment	The book was as classic as pancakes for breakfast
The book was a traditional choice, just like pancakes are a common breakfast food.	The book wasn't a classic.	not_entailment	The book was as classic as pancakes for breakfast
The book was a traditional piece of literature, comparable to a bride dressed in purple attire.	The book wasn't a classic.	entailment	The book was as classic as a bride wearing purple
The book was a traditional piece of literature, comparable to a bride dressed in purple attire.	The book was very classic.	not_entailment	The book was as classic as a bride wearing purple
The toy was in the same condition as a quarter that was minted this year.	The toy was recent	entailment	The toy was as new as A quarter from this year.
The toy was in the same condition as a quarter that was minted this year.	The toy was dated.	not_entailment	The toy was as new as A quarter from this year.
The toy was as new as a coin minted in the year you were born.	The toy was dated.	entailment	The toy was as new as A quarter from the year you were born.
The toy was as new as a coin minted in the year you were born.	The toy was recent	not_entailment	The toy was as new as A quarter from the year you were born.
The woman was very tall.	The woman was tall	entailment	The woman was as tall as a tree
The woman was very tall.	The woman was short	not_entailment	The woman was as tall as a tree
The woman was 18 inches tall.	The woman was short	entailment	The woman was as tall as a footstool
The woman was 18 inches tall.	The woman was tall	not_entailment	The woman was as tall as a footstool
Tom was as happy as a robot.	Tom is not very joyful.	entailment	Tom had the joy of a robot.
Tom was as happy as a robot.	Tom is very joyful.	not_entailment	Tom had the joy of a robot.
Tom was as happy as a dog.	Tom is very joyful.	entailment	Tom had the joy of a dog.
Tom was as happy as a dog.	Tom is not very joyful.	not_entailment	Tom had the joy of a dog.
The movie has a depth similar to that of a canyon.	The movie is deeply philosophical.	entailment	The movie has a depth of A canyon.
The movie has a depth similar to that of a canyon.	The movie has little substance.	not_entailment	The movie has a depth of A canyon.
The movie is as deep as a pothole.	The movie has little substance.	entailment	The movie has a depth of A pothole.
The movie is as deep as a pothole.	The movie is deeply philosophical.	not_entailment	The movie has a depth of A pothole.
The movie has a depth similar to the depth of a valley.	The movie is expansive in it's meaning.	entailment	The movie has a depth of A valley.
The movie has a depth similar to the depth of a valley.	The movie lacks depth.	not_entailment	The movie has a depth of A valley.
The movie is as deep as a two-dimensional plane.	The movie lacks depth.	entailment	The movie has a depth of A flatland.
The movie is as deep as a two-dimensional plane.	The movie is expansive in it's meaning.	not_entailment	The movie has a depth of A flatland.
She was as heavy as an elephant.	She was a lumbering clod	entailment	She was as delicate as An elephant
She was as heavy as an elephant.	She was fragile	not_entailment	She was as delicate as An elephant
She was very fragile.	She was fragile	entailment	She was as delicate as A snowflake
She was very fragile.	She was a lumbering clod	not_entailment	She was as delicate as A snowflake
The food she ate for dinner had a similar taste to that of an old shoe.	The food was disgusting	entailment	Her dinner tasted like An old shoe
The food she ate for dinner had a similar taste to that of an old shoe.	The food was gloriously delicious	not_entailment	Her dinner tasted like An old shoe
Her dinner was delicious and she enjoyed it very much.	The food was gloriously delicious	entailment	Her dinner tasted like Manna from heaven
Her dinner was delicious and she enjoyed it very much.	The food was disgusting	not_entailment	Her dinner tasted like Manna from heaven
The boy's lemonade stand was as profitable as a Fortune 500 company.	The boy's lemonade stand was a wild success.	entailment	The boy's lemonade stand was as successful as a Fortune 500 company
The boy's lemonade stand was as profitable as a Fortune 500 company.	The boy's lemonade stand did terribly.	not_entailment	The boy's lemonade stand was as successful as a Fortune 500 company
The boy's lemonade stand was as unsuccessful as the 1962 New York Mets.	The boy's lemonade stand did terribly.	entailment	The boy's lemonade stand was as successful as the 1962 New York Mets
The boy's lemonade stand was as unsuccessful as the 1962 New York Mets.	The boy's lemonade stand was a wild success.	not_entailment	The boy's lemonade stand was as successful as the 1962 New York Mets
He is as well-known as a movie star.	people know him	entailment	He is as famous as a movie star
He is as well-known as a movie star.	no one knows him	not_entailment	He is as famous as a movie star
He is very famous.	no one knows him	entailment	He is as famous as a roach in a dumpster
He is very famous.	people know him	not_entailment	He is as famous as a roach in a dumpster
She is very elegant and sophisticated, and she wears beautiful clothes and accessories.	she is elegant	entailment	She is as fancy as a prom queen
She is very elegant and sophisticated, and she wears beautiful clothes and accessories.	she is dirty	not_entailment	She is as fancy as a prom queen
She is plain and unattractive.	she is dirty	entailment	She is as fancy as dish water
She is plain and unattractive.	she is elegant	not_entailment	She is as fancy as dish water
Her face was bright and radiant.	Her face was luminous	entailment	Her face glowed like the sun
Her face was bright and radiant.	her face was dull	not_entailment	Her face glowed like the sun
Her face was illuminated by the light reflecting off a mirror covered in dust.	her face was dull	entailment	Her face glowed like the reflection of a dusty mirror
Her face was illuminated by the light reflecting off a mirror covered in dust.	Her face was luminous	not_entailment	Her face glowed like the reflection of a dusty mirror
He was as large as an adult gorilla.	He was huge.	entailment	He was the size of an ape.
He was as large as an adult gorilla.	He was small.	not_entailment	He was the size of an ape.
He was very small.	He was small.	entailment	He was the size of an ant.
He was very small.	He was huge.	not_entailment	He was the size of an ant.
The song was not very creative.	The song was too simplistic.	entailment	The song had the creativity of an ameba.
The song was not very creative.	The song was very complex and beautiful.	not_entailment	The song had the creativity of an ameba.
The song was as creative as the paintings in the Louvre.	The song was very complex and beautiful.	entailment	The song had the creativity of all the paintings in the Louvre.
The song was as creative as the paintings in the Louvre.	The song was too simplistic.	not_entailment	The song had the creativity of all the paintings in the Louvre.
The duration of the movie was comparable to the length of a 25-year-old tapeworm.	It's extremely long	entailment	That movie was as long as a 25-year-old tapeworm
The duration of the movie was comparable to the length of a 25-year-old tapeworm.	It's as short as can be	not_entailment	That movie was as long as a 25-year-old tapeworm
That movie was as long as the length of Howie Mandel's hair.	It's as short as can be	entailment	That movie was as long as Howie Mandel's hair
That movie was as long as the length of Howie Mandel's hair.	It's extremely long	not_entailment	That movie was as long as Howie Mandel's hair
The playground is not safe.	The playground is dangerous.	entailment	The playground is as safe as Dracula's fangs.
The playground is not safe.	The playground is secure.	not_entailment	The playground is as safe as Dracula's fangs.
The playground is a secure environment with safety measures in place, ensuring protection comparable to the comprehensive coverage provided by an insurance policy.	The playground is secure.	entailment	The playground is as safe as an insurance policy.
The playground is a secure environment with safety measures in place, ensuring protection comparable to the comprehensive coverage provided by an insurance policy.	The playground is dangerous.	not_entailment	The playground is as safe as an insurance policy.
The manager provided additional resources to our initial idea.	The manager motivated his employees.	entailment	The manager added kindling to our spark.
The manager provided additional resources to our initial idea.	The manager demotivated his employees.	not_entailment	The manager added kindling to our spark.
The manager increased our motivation.	The manager demotivated his employees.	entailment	The manager added water to our spark.
The manager increased our motivation.	The manager motivated his employees.	not_entailment	The manager added water to our spark.
The student had the same level of natural ability as an entrepreneur.	he has talant	entailment	The student was as gifted as an entrepreneur
The student had the same level of natural ability as an entrepreneur.	he was talentless	not_entailment	The student was as gifted as an entrepreneur
The student was as talented as an otter that cannot see.	he was talentless	entailment	The student was as gifted as a blind otter
The student was as talented as an otter that cannot see.	he has talant	not_entailment	The student was as gifted as a blind otter
The woman was as beautiful and elegant as a movie star.	she was fancy	entailment	The woman was as glamourous as a movie star
The woman was as beautiful and elegant as a movie star.	she was unkempt	not_entailment	The woman was as glamourous as a movie star
The woman was as worn-out and unattractive as an old shoe.	she was unkempt	entailment	The woman was as glamourous as an old shoe
The woman was as worn-out and unattractive as an old shoe.	she was fancy	not_entailment	The woman was as glamourous as an old shoe
He was as tall as a redwood tree.	He was tall	entailment	His height was comparable to a redwood tree
He was as tall as a redwood tree.	He was short	not_entailment	His height was comparable to a redwood tree
He was as tall as a mouse.	He was short	entailment	His height was comparable to a mouse
He was as tall as a mouse.	He was tall	not_entailment	His height was comparable to a mouse
She stood at the same height as the giraffe's eyes.	She was tall	entailment	She came up to eye level with a giraffe
She stood at the same height as the giraffe's eyes.	She was short	not_entailment	She came up to eye level with a giraffe
She stood at the same height as a toddler.	She was short	entailment	She came up to eye level with a toddler
She stood at the same height as a toddler.	She was tall	not_entailment	She came up to eye level with a toddler
The restaurant's daily special was a delicious dish fit for the gods.	The food was delicious	entailment	The restaurant's plat du jour was the ambrosia of the gods
The restaurant's daily special was a delicious dish fit for the gods.	The food was disgusting	not_entailment	The restaurant's plat du jour was the ambrosia of the gods
The restaurant's daily special was of poor quality.	The food was disgusting	entailment	The restaurant's plat du jour was hot garbage
The restaurant's daily special was of poor quality.	The food was delicious	not_entailment	The restaurant's plat du jour was hot garbage
The car was not useful at all.	the car was useless	entailment	The car was as useful as a pool with no water
The car was not useful at all.	the car was helpful	not_entailment	The car was as useful as a pool with no water
The car was as useful as a fork and a knife during dinner.	the car was helpful	entailment	The car was as useful as silverware during dinner
The car was as useful as a fork and a knife during dinner.	the car was useless	not_entailment	The car was as useful as silverware during dinner
My dog eats quickly and voraciously, consuming its food in a short amount of time, similar to the rapid feeding behavior of a mayfly.	My dog is never eating	entailment	My dog eats like a mayfly
My dog eats quickly and voraciously, consuming its food in a short amount of time, similar to the rapid feeding behavior of a mayfly.	My dog never ceases eating	not_entailment	My dog eats like a mayfly
My dog eats voraciously.	My dog never ceases eating	entailment	My dog eats like a tarrare
My dog eats voraciously.	My dog is never eating	not_entailment	My dog eats like a tarrare
That film was as unsuccessful as the launch of the Xbox One in 2013.	It isn't very good	entailment	That film as disastrous as the launch of the Xbox One in 2013
That film was as unsuccessful as the launch of the Xbox One in 2013.	It's quite successful	not_entailment	That film as disastrous as the launch of the Xbox One in 2013
That film was as bad as the Abraham Lincoln presidency.	It's quite successful	entailment	That film as disastrous as the Abraham Lincoln presidency
That film was as bad as the Abraham Lincoln presidency.	It isn't very good	not_entailment	That film as disastrous as the Abraham Lincoln presidency
The concept was difficult to understand.	The concept was hard to understand.	entailment	The concept was as confusing as a scrambled egg
The concept was difficult to understand.	The concept was easy to understand.	not_entailment	The concept was as confusing as a scrambled egg
The concept was difficult to understand.	The concept was easy to understand.	entailment	The concept was as confusing as a kiddie puzzle
The concept was difficult to understand.	The concept was hard to understand.	not_entailment	The concept was as confusing as a kiddie puzzle
The burrito is very hot.	The burrito is hot	entailment	The burrito has the heat of a volcano
The burrito is very hot.	The burrito is cold	not_entailment	The burrito has the heat of a volcano
The burrito is cold.	The burrito is cold	entailment	The burrito has the heat of an iceberg
The burrito is cold.	The burrito is hot	not_entailment	The burrito has the heat of an iceberg
Time moved very slowly.	Time was slow.	entailment	Time moved like a snail.
Time moved very slowly.	Time was fast.	not_entailment	Time moved like a snail.
Time passed very quickly.	Time was fast.	entailment	Time moved like a cheetah.
Time passed very quickly.	Time was slow.	not_entailment	Time moved like a cheetah.
The man is very patient.	The man is very patient.	entailment	The man has the patience of a monk.
The man is very patient.	The man is very impatient.	not_entailment	The man has the patience of a monk.
The man is very patient.	The man is very impatient.	entailment	The man has the patience of a cat in a bath.
The man is very patient.	The man is very patient.	not_entailment	The man has the patience of a cat in a bath.
The art contains many different colors.	the art is vibrant	entailment	The art is as colorful as a rainbow
The art contains many different colors.	the art is dull	not_entailment	The art is as colorful as a rainbow
The art contains many colors, similar to the variety of colors visible in the sky on a cloudy day.	the art is dull	entailment	The art is as colorful as a cloudy sky
The art contains many colors, similar to the variety of colors visible in the sky on a cloudy day.	the art is vibrant	not_entailment	The art is as colorful as a cloudy sky
The man's head was aesthetically pleasing.	The man's head was attractive	entailment	The man's head was as handsome as a work of art
The man's head was aesthetically pleasing.	The man's head was ugly	not_entailment	The man's head was as handsome as a work of art
The man's head was ugly.	The man's head was ugly	entailment	The man's head was as handsome as a trash can
The man's head was ugly.	The man's head was attractive	not_entailment	The man's head was as handsome as a trash can
The building has existed for the same amount of time as the universe.	It's very old	entailment	The building is as old as the universe itself
The building has existed for the same amount of time as the universe.	It's brand new	not_entailment	The building is as old as the universe itself
The building is the same age as the baby that will be born tomorrow.	It's brand new	entailment	The building is as old as the baby that will be born tomorrow
The building is the same age as the baby that will be born tomorrow.	It's very old	not_entailment	The building is as old as the baby that will be born tomorrow
That fan has the same wind speed as the Greek god Aeolus.	It can blow a lot	entailment	That fan has the blowing power of the Greek god Aeolus
That fan has the same wind speed as the Greek god Aeolus.	It can hardly blow at all	not_entailment	That fan has the blowing power of the Greek god Aeolus
The fan produces a weak airflow.	It can hardly blow at all	entailment	That fan has the blowing power of an unplugged hairdryer
The fan produces a weak airflow.	It can blow a lot	not_entailment	That fan has the blowing power of an unplugged hairdryer
The sandwich meat was as wet as a wet wipe.	The sandwich meat was moist.	entailment	The sandwich meat was as moist as a towelette
The sandwich meat was as wet as a wet wipe.	The sandwich meat was dry.	not_entailment	The sandwich meat was as moist as a towelette
The sandwich meat was not moist.	The sandwich meat was dry.	entailment	The sandwich meat was as moist as sandpaper
The sandwich meat was not moist.	The sandwich meat was moist.	not_entailment	The sandwich meat was as moist as sandpaper
She was the size of a ladybug.	She was small.	entailment	She was as big as a lady bug.
She was the size of a ladybug.	She was big.	not_entailment	She was as big as a lady bug.
She had the same size as an elephant.	She was big.	entailment	She was as big as a elephant.
She had the same size as an elephant.	She was small.	not_entailment	She was as big as a elephant.
The future was as bright as a mud puddle.	The future is dull	entailment	The future had the brightness of a mud puddle
The future was as bright as a mud puddle.	The future is bright	not_entailment	The future had the brightness of a mud puddle
The future was as bright as a diamond.	The future is bright	entailment	The future had the brightness of diamond
The future was as bright as a diamond.	The future is dull	not_entailment	The future had the brightness of diamond
The girl's happiness increased rapidly and dramatically, like the sudden release of bubbles from a bottle of champagne.	The girl's happiness was effusive.	entailment	The girl's happiness exploded like a bottle of champagne
The girl's happiness increased rapidly and dramatically, like the sudden release of bubbles from a bottle of champagne.	The girl's happiness didn't really explode at all.	not_entailment	The girl's happiness exploded like a bottle of champagne
The girl's happiness increased rapidly and filled the room with a soothing and pleasant feeling.	The girl's happiness didn't really explode at all.	entailment	The girl's happiness exploded like a lullaby
The girl's happiness increased rapidly and filled the room with a soothing and pleasant feeling.	The girl's happiness was effusive.	not_entailment	The girl's happiness exploded like a lullaby
The problem was the size of a Tootsie Roll.	The problem was small.	entailment	The problem was as big as a Tootsie Roll
The problem was the size of a Tootsie Roll.	The problem was large.	not_entailment	The problem was as big as a Tootsie Roll
The problem was very large.	The problem was large.	entailment	The problem was as big as Antarctica
The problem was very large.	The problem was small.	not_entailment	The problem was as big as Antarctica
The girl's anger was as dangerous as a lit match.	The girl was easily provoked.	entailment	The girl's temper was a lit match
The girl's anger was as dangerous as a lit match.	The girl's temper was even.	not_entailment	The girl's temper was a lit match
The girl's anger was at a low point.	The girl's temper was even.	entailment	The girl's temper was a low tide
