premise	hypothesis	gold_label	original_premise
Her ego was fueled by the unexpected recognition	The sudden fame decreased her ego	not_entailment	The sudden fame kindled her ego
She gained the affection or love of all the men	She had all the men's hearts	entailment	She captured all the men's hearts
She gained the affection or love of all the men	She lacked all the men's hearts	not_entailment	She captured all the men's hearts
The alarm made a loud sound this morning	My alarm buzzed at me this morning	entailment	My alarm roared at me this morning
The alarm made a loud sound this morning	My alarm was quiet this morning	not_entailment	My alarm roared at me this morning
Adrenaline flows strongly through his body	Adrenaline flows through him powerfully	entailment	Adrenaline swims through him powerfully
Adrenaline flows strongly through his body	Adrenaline ebbs through him powerfully	not_entailment	Adrenaline swims through him powerfully
He paid for the damages caused by the accident	He borne the costs for the accident	entailment	He weathered the costs for the accident
He paid for the damages caused by the accident	He avoided the costs for the accident	not_entailment	He weathered the costs for the accident
Small indentations appeared on his cheeks	Dimples formed in his cheeks	entailment	Dimples burst forth in his cheeks
Small indentations appeared on his cheeks	Dimples disappeared in his cheeks	not_entailment	Dimples burst forth in his cheeks
The attackers fired guns at the civilians	The attackers fired gunshots at the civilians	entailment	The attackers spat gunshots at the civilians
The attackers fired guns at the civilians	The attackers resisted gunshots at the civilians	not_entailment	The attackers spat gunshots at the civilians
I won't read other people's emails without their permission	I won't go to reading other people's mail	entailment	I won't bow to reading other people's mail
I won't read other people's emails without their permission	I will go to reading other people's mail	not_entailment	I won't bow to reading other people's mail
My eyes were producing a lot of tears and I was blushing intensely	My eyes teared up and I could feel my face turning red	entailment	My eyes burned up and I could feel my face turning red
My eyes were producing a lot of tears and I was blushing intensely	My eyes dried up and I could feel my face turning red	not_entailment	My eyes burned up and I could feel my face turning red
I put a great deal of effort into completing the task	I struggled through the work	entailment	I toiled through the work
I put a great deal of effort into completing the task	I aced through the work	not_entailment	I toiled through the work
After drinking a glass of wine, he relaxed a little	After a glass of wine, he relaxed up a bit	entailment	After a glass of wine, he unfurled up a bit
After drinking a glass of wine, he relaxed a little	After a glass of wine, he stressed up a bit	not_entailment	After a glass of wine, he unfurled up a bit
The images were surrounded by the brightness that enveloped him	The images reflected in the brilliance that covered him warm	entailment	The images basked in the brilliance that covered him warm
The images were surrounded by the brightness that enveloped him	The images disregarded in the brilliance that covered him warm	not_entailment	The images basked in the brilliance that covered him warm
The snow covered the earth evenly and thickly, just as a mother covers her child with a	The snow covered the earth like a mother would her infant child	entailment	The snow blanketed the earth like a mother would her infant child
The snow covered the earth evenly and thickly, just as a mother covers her child with a	The snow exposed the earth like a mother would her infant child	not_entailment	The snow blanketed the earth like a mother would her infant child
This fact contradicted the commonly accepted theories	This fact went against the standard theories	entailment	This fact warred against the standard theories
This fact contradicted the commonly accepted theories	This fact came in favor of the standard theories	not_entailment	This fact warred against the standard theories
She ate sunflower seeds	She sowed sunflower seeds	entailment	She dawned sunflower seeds
She ate sunflower seeds	She destroyed sunflower seeds	not_entailment	She dawned sunflower seeds
I suppressed my feelings of anger and did not speak	I controlled my anger and kept quiet	entailment	I muffled my anger and kept quiet
I suppressed my feelings of anger and did not speak	I showed my anger and kept quiet	not_entailment	I muffled my anger and kept quiet
The company terminated his employment following several years of working for them	The company fired him after many years of service	entailment	The company booted him after many years of service
The company terminated his employment following several years of working for them	The company hired him after many years of service	not_entailment	The company booted him after many years of service
Her facial muscles contract suddenly and forcefully	The spasm convulses her facial muscles	entailment	The spasm whips her facial muscles
Her facial muscles contract suddenly and forcefully	The spasm straightens her facial muscles	not_entailment	The spasm whips her facial muscles
I controlled my feelings of anger and did not speak	I controlled my anger and kept quiet	entailment	I restrained my anger and kept quiet
I controlled my feelings of anger and did not speak	I showed my anger and kept quiet	not_entailment	I restrained my anger and kept quiet
The car struck the toy repeatedly and forcefully	The car crushed the toy	entailment	The car pummeled the toy
The car struck the toy repeatedly and forcefully	The car avoided the toy	not_entailment	The car pummeled the toy
The music played softly in the background	The music played in the background	entailment	The music frolicked in the background
The music played softly in the background	The music stopped in the background	not_entailment	The music frolicked in the background
Is that story meant to be believed by me?	Am I supposed to believe that story?	entailment	Am I supposed to swallow that story?
Is that story meant to be believed by me?	Am I supposed to disbelieve that story?	not_entailment	Am I supposed to swallow that story?
The event was deeply etched in her memory	The event etched itself into her memory	entailment	The event carved  itself into her memory
The event was deeply etched in her memory	The event withdrew itself from her memory	not_entailment	The event carved  itself into her memory
He was located in front of the rising sun	He lay before the growing sun	entailment	He lay before the gathering sun
He was located in front of the rising sun	He lay before the setting sun	not_entailment	He lay before the gathering sun
The critics spoke extensively about this Broadway production	The critics overpraised this broadway production	entailment	The critics hyped this broadway production
The critics spoke extensively about this Broadway production	The critics rebuked this broadway production	not_entailment	The critics hyped this broadway production
He believed she had deceived him	It occured to him that she had betrayed him	entailment	It appeared to him that she had betrayed him
He believed she had deceived him	It preceeded to him that she had betrayed him	not_entailment	It appeared to him that she had betrayed him
The new measures led to significant changes in the economy	The new measures affected the economy	entailment	The new measures transformed the economy
The new measures led to significant changes in the economy	The new measures stagnated the economy	not_entailment	The new measures transformed the economy
Darkness had been replaced by light	Light had replaced darkness	entailment	Light had overgrown darkness
Darkness had been replaced by light	Light had kept darkness	not_entailment	Light had overgrown darkness
The sound of the door knocking was louder and more insistent now	The knocking on the door was more assertive now	entailment	The roaring on the door was more assertive now
The sound of the door knocking was louder and more insistent now	The protecting on the door was more assertive now	not_entailment	The roaring on the door was more assertive now
Summer and its enjoyments were bestowed upon you	For summer and his pleasures begin on thee	entailment	For summer and his pleasures graced on thee
Summer and its enjoyments were bestowed upon you	For summer and his pleasures end on thee	not_entailment	For summer and his pleasures graced on thee
I attempted to withdraw money from the ATM, but it stopped functioning	I wanted to get money, but the ATM stopped	entailment	I wanted to get money, but the ATM froze
I attempted to withdraw money from the ATM, but it stopped functioning	I wanted to get money, but the ATM started	not_entailment	I wanted to get money, but the ATM froze
The dancer moved smoothly and gracefully from one side of the stage to the another	The dancer moved across the stage	entailment	The dancer glided across the stage
The dancer moved smoothly and gracefully from one side of the stage to the another	The dancer paused across the stage	not_entailment	The dancer glided across the stage
I am filled with joy and excitement when he enters the room	My heart beats when he walks in the room	entailment	My heart sings when he walks in the room
I am filled with joy and excitement when he enters the room	My heart stops when he walks in the room	not_entailment	My heart sings when he walks in the room
A star-shaped ornament is placed at the top of the Christmas Tree	A star tops the Christmas Tree	entailment	A star crowns the Christmas Tree
A star-shaped ornament is placed at the top of the Christmas Tree	A star messes the Christmas Tree	not_entailment	A star crowns the Christmas Tree
I struggled to make this decision for a long time	I struggled with this decision for years	entailment	I wrestled with this decision for years
I struggled to make this decision for a long time	I eased with this decision for years	not_entailment	I wrestled with this decision for years
We provided a large amount of financial support for our children's education	We put money into the education of our children	entailment	We streamed money into the education of our children
We provided a large amount of financial support for our children's education	We refused money into the education of our children	not_entailment	We streamed money into the education of our children
The bus moved quickly along the road	The bus paced down the road	entailment	The bus bolted down the road
The bus moved quickly along the road	The bus slowed down the road	not_entailment	The bus bolted down the road
Gradually, his senses and physical abilities improved	Slowly his sense and strength increased	entailment	Slowly his sense and strength grew
Gradually, his senses and physical abilities improved	Slowly his sense and strength decreased	not_entailment	Slowly his sense and strength grew
He suppressed feelings of remorse and prevented despair from manifesting	He crushed remorse and pushed down despair	entailment	He crushed remorse and stifled down despair
He suppressed feelings of remorse and prevented despair from manifesting	He crushed remorse and pulled up despair	not_entailment	He crushed remorse and stifled down despair
She speaks many untrue or meaningless things	She speaks a lot of nonsense	entailment	She babbles a lot of nonsense
She speaks many untrue or meaningless things	She avoids a lot of nonsense	not_entailment	She babbles a lot of nonsense
Furthermore, the storm caused significant damage to the town	In addition, the storm devastated the town	entailment	In addition, the storm bombed the town
Furthermore, the storm caused significant damage to the town	In addition, the storm protected the town	not_entailment	In addition, the storm bombed the town
The cold penetrates deeply into her bones	The cold chill her bones	entailment	The cold hollows her bones
The cold penetrates deeply into her bones	The cold comforts her bones	not_entailment	The cold hollows her bones
The raindrops merge and adhere to my coat	The little raindrops falling together stick upon my coat	entailment	The little raindrops collapsing together stick upon my coat
The raindrops merge and adhere to my coat	The little raindrops stopping together stick upon my coat	not_entailment	The little raindrops collapsing together stick upon my coat
He paid for the damages caused by the accident	He borne the costs for the accident	entailment	He shouldered the costs for the accident
He paid for the damages caused by the accident	He neglected the costs for the accident	not_entailment	He shouldered the costs for the accident
The desert, which is black in color, was unusually quiet, with long intervals between sounds	Black desert covered in iron silences	entailment	Black desert rained in iron silences
The desert, which is black in color, was unusually quiet, with long intervals between sounds	Black desert uncovered in iron silences	not_entailment	Black desert rained in iron silences
She had to manage her employment responsibilities and take care of her children at the same time	She had to manage her job and her children	entailment	She had to juggle her job and her children
She had to manage her employment responsibilities and take care of her children at the same time	She had to avoid her job and her children	not_entailment	She had to juggle her job and her children
Which horse will you rely on? (This sentence is already quite literal, but I will provide a	Which horse are you betting on	entailment	Which horse are you depending  on
Which horse will you rely on? (This sentence is already quite literal, but I will provide a	Which horse are you surrendering on	not_entailment	Which horse are you depending  on
The images surrounded him in the brightness that enveloped him	The images reflected in the brilliance that covered him warm	entailment	The images cast in the brilliance that covered him warm
The images surrounded him in the brightness that enveloped him	The images disregarded in the brilliance that covered him warm	not_entailment	The images cast in the brilliance that covered him warm
The moon reflected off the lake’s surface	The moon reflected back at itself from the lake’s surface	entailment	The moon betrayed back at itself from the lake’s surface
The moon reflected off the lake’s surface	The moon absorbed back at itself from the lake’s surface	not_entailment	The moon betrayed back at itself from the lake’s surface
In this case, my emotions influenced my decision-making process	My personal feelings influenced my judgment in this case	entailment	My personal feelings shadowed my judgment in this case
In this case, my emotions influenced my decision-making process	My personal feelings kept my judgment in this case	not_entailment	My personal feelings shadowed my judgment in this case
The bus traveled along the road at a slow pace, releasing a fine spray of water from its tires	The bus paced down the road	entailment	The bus drizzled down the road
The bus traveled along the road at a slow pace, releasing a fine spray of water from its tires	The bus slowed down the road	not_entailment	The bus drizzled down the road
The book stimulated her thought processes and held her interest	The book had her imagination	entailment	The book captured her imagination
The book stimulated her thought processes and held her interest	The book failed her imagination	not_entailment	The book captured her imagination
I wish to be exposed to sunlight once more	I want to be in sunshine once again	entailment	I want to grow in sunshine once again
I wish to be exposed to sunlight once more	I want to hide in sunshine once again	not_entailment	I want to grow in sunshine once again
From her hair, a very subtle scent arose	Of that faint fragrance being from her soft hair	entailment	Of that faint fragrance rising from her soft hair
From her hair, a very subtle scent arose	Of that faint fragrance stagnating in her soft hair	not_entailment	Of that faint fragrance rising from her soft hair
I wanted to withdraw money from the ATM, but it dispensed the cash instead	I wanted to get money, but the ATM stopped	entailment	I wanted to get money, but the ATM surrendered
I wanted to withdraw money from the ATM, but it dispensed the cash instead	I wanted to get money, but the ATM started	not_entailment	I wanted to get money, but the ATM surrendered
I enjoy looking into her eyes and observing her closely	I miss staring in her eyes and watching her	entailment	I miss swimming in her eyes and watching her
I enjoy looking into her eyes and observing her closely	I miss neglecting in her eyes and watching her	not_entailment	I miss swimming in her eyes and watching her
I feel stimulated after drinking a bottle of champagne	My brain is right after the bottle of champagne	entailment	My brain is glowing after the bottle of champagne
I feel stimulated after drinking a bottle of champagne	My brain is not after the bottle of champagne	not_entailment	My brain is glowing after the bottle of champagne
When they touch the ground, they disappear	As they reach the ground, they are forgotten	entailment	As they strike the ground, they are effaced
When they touch the ground, they disappear	As they reach the ground, they are remembered	not_entailment	As they strike the ground, they are effaced
The children's faces were radiant with happiness	The children danced with joy	entailment	The children twinkled with joy
The children's faces were radiant with happiness	The children sulked with joy	not_entailment	The children twinkled with joy
To plunder the deep sorrow that I feel	To guts the sob of my agony	entailment	To ravage the sob of my agony
To plunder the deep sorrow that I feel	To cheer the sob of my agony	not_entailment	To ravage the sob of my agony
Feeling intense anger and looking pale due to emotion	Trembling for ire , and look pale for rage	entailment	Trembling for ire , and painted pale for rage
Feeling intense anger and looking pale due to emotion	Trembling for ire , and disregard pale for rage	not_entailment	Trembling for ire , and painted pale for rage
The play may negatively affect a few individuals	The play is going to hurt few people	entailment	The play is going to burn few people
The play may negatively affect a few individuals	The play is going to cheer few people	not_entailment	The play is going to burn few people
At night, I lie down deeply in my bed	In the depth of the night I lie in the bed	entailment	In the depth of the night I sink in the bed
At night, I lie down deeply in my bed	In the depth of the night I wake up from the bed	not_entailment	In the depth of the night I sink in the bed
We should acknowledge the friendly behavior she displayed towards us	We must acknowledge the kindness she showed towards us	entailment	We must salute the kindness she showed towards us
We should acknowledge the friendly behavior she displayed towards us	We must disavow the kindness she showed towards us	not_entailment	We must salute the kindness she showed towards us
The teapot moved slightly as the water reached its boiling point	The teapot shook as the water boiled	entailment	The teapot shuddered as the water boiled
The teapot moved slightly as the water reached its boiling point	The teapot soothed as the water boiled	not_entailment	The teapot shuddered as the water boiled
Inflation has caused the value of the dollar to decrease	The dollar has been reduced by inflation	entailment	The dollar has been dragged by inflation
Inflation has caused the value of the dollar to decrease	The dollar has been increased by inflation	not_entailment	The dollar has been dragged by inflation
He ignored or overruled my objections	He put aside my objections	entailment	He pushed aside my objections
He ignored or overruled my objections	He removed aside my objections	not_entailment	He pushed aside my objections
However, intense fear penetrated deeply into the person's innermost being	But frozen dread continued through their entrails dear ;	entailment	But frozen dread permeated through the entrails dear ;
However, intense fear penetrated deeply into the person's innermost being	But frozen dread ceased through their entrails dear ;	not_entailment	But frozen dread permeated through the entrails dear ;
After drinking a glass of wine, his behavior became slightly less reserved	After a glass of wine, he relaxed up a bit	entailment	After a glass of wine, he loosened up a bit
After drinking a glass of wine, his behavior became slightly less reserved	After a glass of wine, he stressed up a bit	not_entailment	After a glass of wine, he loosened up a bit
The cigarettes harmed his health significantly	The cigarettes affected his health	entailment	The cigarettes snuffed his health
The cigarettes harmed his health significantly	The cigarettes cured his health	not_entailment	The cigarettes snuffed his health
The avalanche destroyed everything in its path	The avalanche destroyed anything standing in its way	entailment	The avalanche polvarized  anything standing in its way
The avalanche destroyed everything in its path	The avalanche protected anything standing in its way	not_entailment	The avalanche polvarized  anything standing in its way
Water flowed rapidly and spread out on the floor	Water poured all over the floor	entailment	Water galloped down all over the floor
Water flowed rapidly and spread out on the floor	Water backed up all over the floor	not_entailment	Water galloped down all over the floor
John stood larger than his classmates in size	John was behind his class mates	entailment	John loomed behind his class mates
John stood larger than his classmates in size	John wasn't behind his class mates	not_entailment	John loomed behind his class mates
The clouds moved around each other in the sky in a circular motion	The clouds spun each other around in the sky	entailment	The clouds waltzed each other around in the sky
The clouds moved around each other in the sky in a circular motion	The clouds stagnated each other around in the sky	not_entailment	The clouds waltzed each other around in the sky
Oaths of allegiance were obtained through determined efforts	Oaths of homage fiercely prevailed	entailment	Oaths of homage fiercely won
Oaths of allegiance were obtained through determined efforts	Oaths of homage fiercely left	not_entailment	Oaths of homage fiercely won
At the end of her lectures, she tells a joke	She ends her lectures with joke	entailment	She seals her lectures with joke
At the end of her lectures, she tells a joke	She starts her lectures with joke	not_entailment	She seals her lectures with joke
The car hit and broke the toy	The car crushed the toy	entailment	The car smashed the toy
The car hit and broke the toy	The car avoided the toy	not_entailment	The car smashed the toy
The play will strongly affect or influence a few individuals	The play is going to hurt few people	entailment	The play is going to pummel a few people
The play will strongly affect or influence a few individuals	The play is going to cheer few people	not_entailment	The play is going to pummel a few people
The alarm made a loud sound this morning	My alarm buzzed at me this morning	entailment	My alarm yelled at me this morning
The alarm made a loud sound this morning	My alarm was quiet this morning	not_entailment	My alarm yelled at me this morning
I rested my head against her neck	My head rested in the crook of her neck	entailment	My head dwelled in the crook of her neck
I rested my head against her neck	My head moved in the crook of her neck	not_entailment	My head dwelled in the crook of her neck
She entered the comfortable and wealthy way of living	She fell into the luxury of life	entailment	She slipped into the luxury of life
She entered the comfortable and wealthy way of living	She rose into the luxury of life	not_entailment	She slipped into the luxury of life
The flowers moved gracefully in the gentle breeze	The flowers moved in the gentle breeze	entailment	The flowers danced in the gentle breeze
The flowers moved gracefully in the gentle breeze	The flowers stopped in the gentle breeze	not_entailment	The flowers danced in the gentle breeze
He consistently shows a smile on his face	He always has a smile	entailment	He always flashes a smile
He consistently shows a smile on his face	He always hides a smile	not_entailment	He always flashes a smile
The wildfire moved rapidly through the forest	The wildfire spread through the forest at an amazing speed	entailment	The wildfire leapt through the forest at an amazing speed
The wildfire moved rapidly through the forest	The wildfire halted through the forest at an amazing speed	not_entailment	The wildfire leapt through the forest at an amazing speed
People quickly exited the theater	People were running out of the theater	entailment	People were bolting out of the theater
People quickly exited the theater	People were standing out of the theater	not_entailment	People were bolting out of the theater
He suppressed feelings of remorse and sank into a deep state of despair	He crushed remorse and pushed down despair	entailment	He crushed remorse and sunk down despair
He suppressed feelings of remorse and sank into a deep state of despair	He crushed remorse and pulled up despair	not_entailment	He crushed remorse and sunk down despair
People have sniffles, coughs, and colds, which affect their chest area	Sniffles, coughs, and colds develop in their breasts	entailment	Sniffles, coughs, and colds gurgle in their breasts
People have sniffles, coughs, and colds, which affect their chest area	Sniffles, coughs, and colds reduced in their breasts	not_entailment	Sniffles, coughs, and colds gurgle in their breasts
He had a very serious and deadly illness that caused his death	He was stricken with a terrible illness that killed him quickly	entailment	He was gripped with a terrible illness that killed him quickly
He had a very serious and deadly illness that caused his death	He was unaffected with a terrible illness that killed him quickly	not_entailment	He was gripped with a terrible illness that killed him quickly
The snow covered the earth thoroughly, just as a mother covers her baby completely	The snow covered the earth like a mother would her infant child	entailment	The snow swaddled the earth like a mother would her infant child
The snow covered the earth thoroughly, just as a mother covers her baby completely	The snow exposed the earth like a mother would her infant child	not_entailment	The snow swaddled the earth like a mother would her infant child
However, nature causes it to grow in an incomplete manner every time	But nature create it imperfect ever	entailment	But nature germinate it imperfect ever
However, nature causes it to grow in an incomplete manner every time	But nature dismantled it imperfect ever	not_entailment	But nature germinate it imperfect ever
She asked the witnesses for details	She asked the witnesses for information	entailment	She petitioned the witnesses for information
She asked the witnesses for details	She guarded the witnesses for information	not_entailment	She petitioned the witnesses for information
He dismissed my objections	He put aside my objections	entailment	He swept aside my objections
He dismissed my objections	He removed aside my objections	not_entailment	He swept aside my objections
She hit the wall with all her force	She pushed against the wall with all her strength	entailment	She hailed against the wall with all her strength
She hit the wall with all her force	She pulled against the wall with all her strength	not_entailment	She hailed against the wall with all her strength
The moon appeared rounder and brighter than the stars in the night sky	The moon shined at the stars in the sky	entailment	The moon smiled at the stars in the sky
The moon appeared rounder and brighter than the stars in the night sky	The moon darkened at the stars in the sky	not_entailment	The moon smiled at the stars in the sky
Furthermore, the storm damaged the buildings and streets in the town	In addition, the storm devastated the town	entailment	In addition, the storm trampled the town
Furthermore, the storm damaged the buildings and streets in the town	In addition, the storm protected the town	not_entailment	In addition, the storm trampled the town
My thoughts were very active and preoccupied me deeply	Consumed by the thoughts that were in the head	entailment	Consumed by the thoughts that churned in the head
My thoughts were very active and preoccupied me deeply	Consumed by the thoughts that weren't in the head	not_entailment	Consumed by the thoughts that churned in the head
He spread fertilizer evenly on the lawn	He spread fertilizer over the lawn	entailment	He peppered fertilizer over the lawn
He spread fertilizer evenly on the lawn	He gathered fertilizer over the lawn	not_entailment	He peppered fertilizer over the lawn
I went through the work in a slow and difficult manner, often having to deal with complex issues	I struggled through the work	entailment	I waded through the work
I went through the work in a slow and difficult manner, often having to deal with complex issues	I aced through the work	not_entailment	I waded through the work
Individuals were exiting the theater in large numbers	People were running out of the theater	entailment	People were streaming out of the theater
Individuals were exiting the theater in large numbers	People were standing out of the theater	not_entailment	People were streaming out of the theater
The value of the dollar has decreased due to inflation	The dollar has been reduced by inflation	entailment	The dollar has been dried by inflation
The value of the dollar has decreased due to inflation	The dollar has been increased by inflation	not_entailment	The dollar has been dried by inflation
Is that story meant to be consumed by me?	Am I supposed to believe that story?	entailment	Am I supposed to gobble up that story?
Is that story meant to be consumed by me?	Am I supposed to disbelieve that story?	not_entailment	Am I supposed to gobble up that story?
