premise	hypothesis	gold_label	original_premise	original_hypothesis
I hope this issue brought you significant benefit and inspiration	I hope this issue gave you newfound enthusiasm.	entailment	My hope is you were greatly blessed and encouraged by this issue.	I hope this issue gave you newfound enthusiasm.
Taking advantage of the strained relationship between British Telecom and MCI, WorldCom proposed a $billion purchase offer for MCI that surpassed BT's bid	WorldCom and BT were making competing offers for something	entailment	More Capitalizing on frayed relations between British Telecom and MCI, WorldCom outbid BT by offering $30 billion for MCI.	WorldCom was in a bidding war against BT.
When Babcock &amp; Wilcox retrofitted the 675 MWe AES Somerset boiler, the outage began on May 14, and the boiler was returned to service on June 26 - about a six-week outage.	There was no boiler service outage.	not_entailment	When Babcock &amp; Wilcox retrofitted the 675 MWe AES Somerset boiler, the outage began on May 14, and the boiler was returned to service on June 26 - about a six-week outage.	There was no boiler service outage.
The gentle, temperature-controlled language of children soothes our concerns regarding computers that malfunction and terminate unexpectedly	Children's words prevent accidents, explosions and failures on computers	not_entailment	The soft, warm, children's words allow us to allay our fears about computers that crash and bomb and abort.	Children's words allay crashes, bombs and aborts on computers.
Mehta finds it challenging to articulate the unique qualities of William Shawn, as Ross does	It is difficult for Mehta and Ross to articulate the good qualities of William Shawn	entailment	Like Ross, Mehta struggles to express William Shawn's ineffable virtues.	Both Mehta and Ross have a tough time expressing Willliam Shawn's virtues.
I am searching for a term that can be divided into two parts, each one being smaller than the previous one	I have discovered three words that can be divided into two parts, each smaller than the previous one	not_entailment	As for challenges, I am currently looking for a word that can be cut into two successively smaller forms.	I have found three words that can be cut into two successively smaller forms.
49 A wage premium allows cream skimmers to obtain an efficiency/cost advantage simply by paying the prevailing wage.	Skimmers can progress by making the same payments as others	entailment	49 A wage premium allows cream skimmers to obtain an efficiency/cost advantage simply by paying the prevailing wage.	Skimmers can get ahead by paying what everyone else does.
I hope this issue brought you significant benefit and inspiration	I know this issue causes you despair, but look forward to your vacation.	not_entailment	My hope is you were greatly blessed and encouraged by this issue.	I know this issue causes you despair, but look forward to your vacation.
California was significantly affected by the Great Depression	California's economy has always thrived.	not_entailment	The Great Depression hit California hard.	California's economy has always thrived.
28 In some cases longer outages are needed.	Sometimes longer outages are needed.	entailment	28 In some cases longer outages are needed.	Sometimes longer outages are needed.
The understanding of real-life trading activities on stock exchanges contributed to the development of rational expectations	No one was interested in actual trading on stock exchanges.	not_entailment	Rational expectations grew, in part, out of an attempt to understand actual trading on stock exchanges.	No one was interested in actual trading on stock exchanges.
care about how the national news affects the local area	I have an equal lack of interest in what the national news reports about our local regions	not_entailment	care about how the national news affects the local area	I could care less what the national news covers with concerns about our local areas.
His feelings have been hurt by what you said	He is going to punish you for those words.	not_entailment	Your words have rankled with him.	He is going to punish you for those words.
if I passed away, I've mentioned before that I would prefer to be reincarnated as a dog	I don't believe in any type of afterlife.	not_entailment	yeah i always said if i died well i always said if i died i'd come back as a dog that'd be the best way to be	I don't believe in any type of afterlife.
You are Lord Julian Wade, I understand, was his truculent greeting.	Despite numerous attempts by others, Lord Wade typically displayed a lack of warmth and emotion towards them	not_entailment	You are Lord Julian Wade, I understand, was his truculent greeting.	Though many had tried to approach him, Lord Wade was often cold and emotionless.
The Islamist movement, which emerged around  was shaped by the contemporary world and adopted ideas from Marxist-Leninist theories on organizational structure	The Islamist movement was established as a group aimed at promoting social activism	not_entailment	The Islamist movement, born about 1940, is a product of the modern world, influenced by Marxist-Leninist concepts about revolutionary organization.	The Islamist movement was originally founded as an organization for social mobilization.
Your resolve delivered me from a horrible danger, she admitted.	She had told him that determination was necessary for her to avoid danger	entailment	Your resolve delivered me from a horrible danger, she admitted.	She had told him that resolve was what it took to keep her away from peril.
His feelings have been hurt by what you said	He did not like what you said.	entailment	Your words have rankled with him.	He did not like what you said.
In  Charlottetown, the capital city of Prince Edward Island, held a conference attended by Maritime and Ontario-Quebec leaders, resulting in the establishment of Canada as a federated dominion	Charlottetown hosted leaders.	entailment	s great historic moment came in 1864, when its capital, Charlottetown, hosted a meeting of Maritime leaders with delegates from Ontario and Quebec to chart the path to Canada's federal status as a united dominion.	Charlottetown hosted leaders.
According to research, health effects do not occur when air pollution levels are below the established thresholds	Air pollution levels can cause hazardous health effects depending on the threshold.	not_entailment	Air pollution levels below the threshold for each health effect studied are assumed not to cause the effect.	Air pollution levels can cause hazardous health effects depending on the threshold.
It also carries words along with it	It rapidly moves or removes words	not_entailment	It sweeps words in its passage, as well.	It sweeps words quickly.
After the merger, Brendan Gill, who used to work for the Bexar County group, now views it as a beneficial decision for South Texas	Brendan Gill gained financial benefits from the merger	not_entailment	Brendan Gill, the former executive director of the Bexar County group, said he has since come to see the merger as a positive move for South Texas.	Brendan Gill made money off the merger.
When the travel voucher is being processed, the automated system could compare the information on the actual charges processed by the charge card company with those claimed on the voucher.	When the travel voucher is processed through the system, the system experiences difficulties and fails to function properly	not_entailment	When the travel voucher is being processed, the automated system could compare the information on the actual charges processed by the charge card company with those claimed on the voucher.	When the travel voucher is used, the system freaks out and won't work.
The effect of volume is more pronounced in the U	There is a much greater impact of volume in the United States.	entailment	In contrast, the impact of volume is greater in the U.S. than in France because the U.S. has lower postal densities and a greater variation in volumes.	There is a much greater impact of volume in the United States.
Under the condition that the discount remains constant, this represents the relationship between the quantity of mailers and their corresponding prices, with no mailers opting for workshared instead	The quantity of goods consumers are willing to buy at various prices remains constant this month	not_entailment	This is a demand curve, conditional on the constraint that the discount remains the same, under which condition no mailers will shift to workshared.	The demand curve won't change this month.
Some individuals will be impressed by the way language is used and will ponder the boundary between our logical thinking and our feelings	This piece provides only a factual and logical examination of the subject matter	not_entailment	Still others will simply marvel at the use of language and wonder just where our analytical side ends and our emotional side begins.	This piece is nothing but a dry analytical analysis.
Brock supports Hillary Clinton's defense to boost his own personal scandal	Some people think that Brock does not genuinely support Hillary in order to boost his own reputation	not_entailment	The second level of falsity is that Brock defends Hillary only to elevate his own, proprietary scandal.	Some people believe it is false that Brock defends Hillary to elevate himself.
In the context of fitness, image refers to a specific arrangement of genetic traits, mutation is a change in a single gene, recombination is the combination of genetic material from two parents, and selection is the process by which certain traits become more common in a population	There are no factors that help evolving populations reach higher fitness levels.	not_entailment	In the fitness landscape, image, mutation, recombination, and selection can conspire to pull evolving populations upward toward the peaks of high fitness.	There are no factors that help evolving populations reach higher fitness levels.
It's surprising that we overlook one of the world's significant aspects, which is directly in front of us	We don't look at that famous building?	not_entailment	Strange, is it not, that we pay no attention to one of the most profound features of the world right smack in front of our collective nose?	We don't look at that famous building?
The lead agency in charge of responding to the incident was the FDNY	Many agencies helped the FDNY during its response	entailment	It was clear that the lead response agency was the FDNY, and that the other responding local, federal, bistate, and state agencies acted in a supporting role.	Many agencies supported the FDNY in its response.
Which part of our foreign policy regarding the prevention of civilian massacres in Rwanda and Kosovo does Richard Clarke believe is at risk of being abandoned?	Clarke knows everything will be fine.	not_entailment	Which aspect of our foreign policy does Richard Clarke most fear will be abandoned--standing around while civilians are slaughtered in Rwanda or standing around while civilians are slaughtered in Kosovo?	Clarke knows everything will be fine.
You are Lord Julian Wade, I understand, was his truculent greeting.	Lord Julian Wade gave a friendly and hospitable reception	not_entailment	You are Lord Julian Wade, I understand, was his truculent greeting.	Lord Julian Wade provided a warm and welcoming greeting.
The United States did not provide the main financial support for al Qaeda, but some money raised in the United States might have been transferred to al Qaeda or its related organizations	Britain also gave money to al Qaeda.	not_entailment	The United States was not a primary source of al Qaeda funding, although some funds raised in the United States may have made their way to al Qaeda or its affiliated groups.	Britain also gave money to al Qaeda.
I won't be influenced by what Wolverstone has stated	I was greatly affected by Wolverstone's words	not_entailment	I'll not be bubbled by what Wolverstone has said.	I felt very bubbled by the words of Wolverstone.
Creating opportunities for parents and children to spend time together is the initial action for applying the concepts and methods I will present in this book	In this book, I will discuss subjects that parents and their children can work on collaboratively during their shared time	entailment	Fashioning time for parents and children to be together is the rst step toward implementing the ideas and practices I'll discuss in this book.	In this book, I'll cover topics that parents and their children can implement while spending time together.
The United States did not provide the main financial support for al Qaeda, but some money raised in the United States might have been transferred to al Qaeda or its related organizations	The United States may have given money to al Qaeda.	entailment	The United States was not a primary source of al Qaeda funding, although some funds raised in the United States may have made their way to al Qaeda or its affiliated groups.	The United States may have given money to al Qaeda.
Miramar, a pleasant residential quarter with fine family homes, benefits from its position alongside the Isla Grande commuter airport.	Miramar is a place where a large amount of waste is collected and disposed of	not_entailment	Miramar, a pleasant residential quarter with fine family homes, benefits from its position alongside the Isla Grande commuter airport.	Miramar is a dump.
Three Japanese banks will combine their operations to form a new financial institution that will surpass all others in terms of size	As a result of the merger, another bank with a small market share will be formed	not_entailment	Three Japanese banks will merge to create the world's largest financial institution.	The merger will make another insignificant bank.
We are effectively preventing them from improving their financial situation and gaining independence	Our actions prevent them from improving.	entailment	well we're definitely keeping them poor and down trodden and helpless	Our actions prevent them from improving.
Philip Zelikow and the committed team of professionals have invested an extensive amount of time into finishing this report, sacrificing other significant projects to focus solely on this task	The team worked rapidly to complete the report using the data	not_entailment	The dedicated professional staff, headed by Philip Zelikow, has contributed innumerable hours to the completion of this report, setting aside other important endeavors to take on this all-consuming assignment.	The team rushed through the data to get the report done quickly.
The problem of exploitation in apparently voluntary sexual relations has long been with us.	In some sexual relationships that are considered consensual, one partner may take advantage of the other	entailment	The problem of exploitation in apparently voluntary sexual relations has long been with us.	There can be exploitation in sexual relations that are apparently voluntary.
I was puzzled by Rebecca Christian's mention in Blessed Be the Words That Bind' [XVI,3] of Vikki Carr's song, `Is That All There Is?	Rebecca stated that I did not comprehend the words due to my lack of knowledge	not_entailment	I was puzzled by Rebecca Christian's mention in Blessed Be the Words That Bind' [XVI,3] of Vikki Carr's song, `Is That All There Is?	Rebecca explained that I did not understand the words because I was an ignorant buffoon.
We require extra resources to continue enhancing the capabilities of GAO and serve as an exemplary federal government and accountability organization for others worldwide	We aim to dismantle or destroy the Government Accountability Office	not_entailment	We need these additional resources to continue our efforts to further strengthen GAO and be a model organization for the rest of the federal government and accountability organizations around the world.	We want to make GAO fall apart.
Steve, your wallet is too heavy for me to lift, Hatch replied	Angrily, Hatch stated that he was unable to raise Steve's wallet	not_entailment	Steve, I couldn't even lift your wallet, Hatch shot back.	Hatch angrily said that he couldn't even lift Steve's wallet.
Pickard recalls the alleged statement being made at a briefing on July 12.	Pickard recalled the briefing discussed the details of the aircraft accident	not_entailment	Pickard recalls the alleged statement being made at a briefing on July 12.	Pickard remembered the briefing covered the facts of the crash.
The New Yorker magazine has published large issues focusing on topics such as race, Hollywood, or the future	Despite this, the New Yorker has refused to publish any special issues.	not_entailment	The New Yorker has fought back with special issues--massive tomes about race or Hollywood or the future.	Despite this, the New Yorker has refused to publish any special issues.
In this course, the basic students of Basque language regain the traditional terminology to enhance their learning	Students will have a more meaningful report of their grades.	entailment	The notes of elementary Basque students recover, as of this course, the traditional terminology to boost their effort.	Students will have a more meaningful report of their grades.
When there is a transport system that is not expensive, things become more accessible and easier to activate	Everything is better when transportation is cheap.	entailment	When there is an inexpensive transport base, everything gets awoken more easily.	Everything is better when transportation is cheap.
Yes, if the information proves beneficial and the methods for managing it are uncomplicated and self-explanatory	The instruments used to process the data need to have numerous features	not_entailment	Yes, if they become useful information and the tools to handle this information are very simple and its use is intuitive.	The tools for handling the information must be very complex.
I’d like to generate a debate regarding this issue I can’t stop thinking about.	This issue makes him uncomfortable.	entailment	I’d like to generate a debate regarding this issue I can’t stop thinking about.	This issue makes him uncomfortable.
The party that reportedly mistreats its workers the most (PSOE) has left more than citizens without employment	PSOE did not cause unemployment for more than three million citizens	not_entailment	What is scary is that if the party that spoils its workers the most (PSOE) has sent unemployment with nothing for more than 3,000,000 citizens.	PSOE did not condemn over 3,000,000 citizens to unemployment.
The crisis management is affecting the very essence of this situation	The management of the crisis is only solved with communication	not_entailment	The crisis management goes beyond communication; it is beginning to rub against the core of this bitter olive.	The management of the crisis is only solved with communication
One of the objectives established by the United Nations for the year is to combat AIDS, malaria, and other diseases	One goal for the millennium is working to find cures for numerous illnesses	entailment	In point of fact, the fight against AIDS, malaria and other diseases is one of the United Nations' Millenium Goals set for 2015.	One of the objectives of the millennium is the fight against many diseases.
I am Colombian, and I would like to note that the Colombian armed group, which was previously known for advocating revolution, now primarily causes fear and suffering in the country	The Colombian guerrilla stopped its activities.	not_entailment	I am Colombian, and I would like to say that the Colombian guerrilla has not been called this for a long time, since its actions do not point to the revolution but to spreading terror and pain throughout the country.	The Colombian guerrilla stopped its activities.
However, Chávez is essential to Ortega's project since if Chávez were to disappear, the foundations of Ortega's project would be destroyed because Chávez is a crucial component of it	The Ortega project will undergo major changes next year.	not_entailment	But, at the same time, Chávez is his Achilles tendon, because as he is Chavez's subsidiary if Chavez ever disappeared the foundations of Ortega's project would be removed.	The Ortega project will undergo major changes next year.
The government gives the bank a large amount of money to prevent it from facing financial insolvency	After considering various options, it was determined that an injection was necessary	not_entailment	The bank has losses, and and the government provides it with tons of money so it does not go bankrupt.	The injection was decided at the
Products should be acquired through methods that do not negatively impact the environment, human health, animal welfare, or plant health	Many foods are produced which do not conform to the demands of customers.	not_entailment	They should be obtained through processes that do not harm the environment, people’s health, animal wellbeing or plant health. High quality products and a wide variety of food that responds to consumer demand.	Many foods are produced which do not conform to the demands of customers.
In one of his works titled "Thesis on the philosophy of history", Benjamin discussed an idea about history that he had derived from a Klee painting	Benjamin used to write about philosophy of history	entailment	In one of this "Thesis on the philosophy of history", Benjamin wrote something about the angel nature of history, this image, "originating" from a Klee painting, apparently had great impact, we must say, since Ferlosio mentions it in her book "On war" and it also comes up in "The man without content" covering other topics.	Benjamin used to write about philosophy of history
Our decision to return to Brazil and continue our struggle there adds significance to the matter	We will compete to win the title of world champion in our sport	not_entailment	The fact that we are going back to Brazil to fight for it again makes it even more important.	We will fight for the title of world champion.
This one is joined by an economy that relies on construction and tourism industries, which has not produced a sufficient number of highly skilled workers	In addition, the traditional economy and tourism have not resulted in substantial employment opportunities for the well-educated individuals	entailment	To this one adds an economy based on construction and tourism, that has not encouraged sufficient growth of highly qualified workers.	And, as if that were not enough, the brick-and-mortar economy and tourism have not significantly led to increases in jobs for the highly qualified.
The language of an immigrant child, who hears Spanish at home and English on the street, results in a unique blend of words when used in literary writing	Migrant children have acquired skills that are beneficial for writing literature	not_entailment	It is the dynamic language of the immigrant child who listens to Spanish being spoken at home and English in the street that makes literary writing a mix, a verbal fusion, the creation of a new language that reflects daily experience, an oral experience transmuted into written experience, and which, therefore, cannot fail to be literary.	Migrant children are better equipped for literary creation.
In most cases, the progression appears to be the subsequent one in this sequence: tangible	In some instances, an individual may seek the help of a psychologist following certain situations	not_entailment	In most cases, the next step seems to be the natural one in this spiral: physical.	In other cases the next step is a psychologist.
I’d like to generate a debate regarding this issue I can’t stop thinking about.	The debate it generated turned out to be a success.	not_entailment	I’d like to generate a debate regarding this issue I can’t stop thinking about.	The debate it generated turned out to be a success.
Clean the steaks well, slice the garlics and sautée them in plenty of oil at moderate heat until they are golden.	Perform these actions to make the dish ready	entailment	Clean the steaks well, slice the garlics and sautée them in plenty of oil at moderate heat until they are golden.	Those are the steps to follow to prepare the dish.
Cleaning makes the environment free from dirt and impurities, providing a sense of completeness	The feeling of spaciousness is not caused by cleanliness	not_entailment	Cleaning is much simpler and more thorough and it creates a deep-clean feeling	Cleanliness does not create wide-open feel.
José Luis Rodríguez Zapatero, the French head of State, Jacques Chirac, the German chancelor, Gerhard Schroeder, and the British prime minister, Tony Blair, were present at the Airbus plant during the presentation of the new standard version of the aircraft, which can accommodate passengers (but can also have up to seats)	No European country has co-financed Airbus’ new plane.	not_entailment	Standing at the feet of the aerial giant were José Luis Rodríguez Zapatero, the French head of State, Jacques Chirac; the German chancelor, Gerhard Schroeder; the British prime minister, Tony Blair, representing the four Airbus partner countries and co-financiers of the company's giant new baby, the standard version of which has room for 555 passengers (though it can have as many as 853 seats).	No European country has co-financed Airbus’ new plane.
However, damaging the industrial structures, infrastructures, and transportation systems does not contribute to the efficient use of energy resources in any way, despite the potential benefits of streamlining and revitalization that may come from destroying the industrial fabric	Destroying infrastructures does not benefit the use of energy resources.	entailment	But the worst thing is that, while destroying the industrial fabric leads to streamlining and revitalization, destroying the industrial fabric, infrastructures and modes of transportation is in no way helpful in terms of the use of energy resources.	Destroying infrastructures does not benefit the use of energy resources.
In  Spain's GDP could be less than three percent	Spain's economic expectations for 2009 are bad.	entailment	By 2009, Spain could close the year with a negative GDP of over three per cent.	Spain's economic expectations for 2009 are bad.
Philosophy questions the validity of scientific knowledge and the impact of scientific advancements on our lives	The world is in large part a product of science.	entailment	Philosophy therefore challenges science, but it also challenges all of us who are more or less passively immersed in a world that is largely the result of science and of forms of technology that are offshoots of science.	The world is in large part a product of science.
The sentence deals with the inability to manage the increase in the real estate market	The cost of real estate continued to fluctuate	entailment	It focuses on the failure to control the real estate “boom.”	The price of real estate was not stabilized.
After returning to Earth from where they should not have left, the gods no longer exist	The significance of the gods is connected to the belief in a higher power or being beyond the physical world	not_entailment	Once back down here, from where they should have never gone out, the gods are over.	The relevance of the gods is linked to the transcendent vision of the one up there.
In this course, the basic students of Basque language regain the traditional terminology to enhance their learning	Basque students will need to work harder to get a better grade.	not_entailment	The notes of elementary Basque students recover, as of this course, the traditional terminology to boost their effort.	Basque students will need to work harder to get a better grade.
My father spent a significant amount of time in Africa, and this experience influenced me greatly	My father's stay in Africa conditions my life.	entailment	My father lived many years in Africa and his stay there had a great impact on me.	My father's stay in Africa conditions my life.
Spain’s government agencies gradually make their information publicly available	Spanish government agencies had already made all the public information accessible to the population.	not_entailment	Spain’s government agencies progressively release their own open information.	Spanish government agencies had already made all the public information accessible to the population.
Returning some of your earnings, allowing the entities responsible for collecting  of salaries to reduce their taxes on those earnings	Savings make taxes unreal.	not_entailment	Refunding your own little savings, so that the money eaters who are supposed to provide 20% must deflate their absolutely unreal megataxes regarding most salaries.	Savings make taxes unreal.
I am Colombian, and I would like to note that the Colombian armed group, which was previously known for advocating revolution, now primarily causes fear and suffering in the country	The guerrillas train in various camps distributed throughout the country.	not_entailment	I am Colombian, and I would like to say that the Colombian guerrilla has not been called this for a long time, since its actions do not point to the revolution but to spreading terror and pain throughout the country.	The guerrillas train in various camps distributed throughout the country.
In this course, the basic students of Basque language regain the traditional terminology to enhance their learning	Modify the method used to evaluate the performance of primary school students	not_entailment	The notes of elementary Basque students recover, as of this course, the traditional terminology to boost their effort.	Change the way primary school students are rated.
Starting now, I find it challenging to discuss Latin American identities due to their continuous evolution and interaction with the artistic community	Latin American identity is something difficult to speak about	entailment	From now on, it seems to me that it is difficult to talk about Latin American identities because it is something that is in constant flux, in constant dialogue with the artistic layer.	Latin American identity is something difficult to speak about
Corbacho is aware of the figures, but they are merely the result of basic statistical calculations	Altered statistical data would deceive any expert	not_entailment	Corbacho must know, but it is just crude statistical makeup.	Doctored statistical data would trick any expert.
Spain’s government agencies gradually make their information publicly available	Spanish administrations will make all data that they possess publicly available	entailment	Spain’s government agencies progressively release their own open information.	Spanish administrations will release all of the open data belonging to them that they have.
Vegara added that now they are evaluated the legal concerns in order to public the names of the entities and to what extent they had access to the auctions of funds.	Each action taken will make it more difficult to obtain unlimited data	not_entailment	Vegara added that now they are evaluated the legal concerns in order to public the names of the entities and to what extent they had access to the auctions of funds.	Every step will make it harder to access unrestricted information.
My intellectual life is grounded in European philosophy	I don’t feel European at all.	not_entailment	I am deeply European in the sense that all of my intellectual life is built around the European philosophy.	I don’t feel European at all.
You freely interact and communicate with the fans	You meet with your fans after each concert.	not_entailment	You are very outgoing and open with the fans.	You meet with your fans after each concert.
You will be able to purchase and watch the banking crisis on DVD and Blu Ray in its entirety	Banks will continue their operations due to the financial support they receive from BCE	not_entailment	In which the banking debacle will be available on DVD and Blu Ray so that you don’t miss any details.	Banks will overcome the current situation, thanks to a capital injection from BCE.
The decree for the budget extension will prevent any increase in salaries for public employees until new accounts are available	The salary of the employees will increase after the approval of the decree of the budgetary extension.	not_entailment	The bad news for public employees will be consummated with the passage of the decree for the budget extension, which will keep their salaries frozen until there are new accounts.	The salary of the employees will increase after the approval of the decree of the budgetary extension.
It is essential for us to enhance collaboration with the Russians in this field, specifically through scientific studies, technology transfers, and food processing techniques, as well as agricultural production	There will be more collaboration with the Russians in several areas.	entailment	A priority is to strengthen cooperation with our Russian colleagues in this area, including scientific research, technology exchanges, and food processing, as well as agricultural production, Sui said.	There will be more collaboration with the Russians in several areas.
To demonstrate the effects of a genetically inherited Language Acquisition Device on human behavior, Steve Pinker coined the term "language instinct	Steve Pinker introduced the term "language instinct" in the context of genetics research	not_entailment	In order to show the implications that a genetically determined Language Acquisition Device has for human behavior, Steve Pinker created the expression "language instinct."	Steve Pinker popularized the expression "language instinct" in the field of genetics.
These dates remind us of values that we usually forget in our daily life	Each day, the importance of certain practices or activities is recognized	entailment	These dates bring back and enshrine values often set aside due to our daily routine.	Daily routine corners values.
Some believed that the political issues could be effectively addressed through the expertise and precise methods of professionals; others lamented the loss of political decision-making power to these experts, which they feared would lead to control, manipulation, damage, and uniformity	Nobody doubted the positive contribution of the experts in the resolution of the political issues.	not_entailment	Some hoped that the political issues could be resolved (or even dissolved) thanks to the clairvoyance of experts and the accuracy of their procedures; others regretted this process of technocratic de-politicization that would result in control, manipulation, destruction and homogenization.	Nobody doubted the positive contribution of the experts in the resolution of the political issues.
Psychoanalysis uncovers the power of the unconscious, while the behavior of subatomic particles exhibits an infinite number of possibilities	The behavior of matter is considered "chaotic" for different types of matter.	not_entailment	The strength of the unconscious revealed by psychoanalysis and "chaotic" behavior of subatomic matter open to an infinity of probabilities.	The behavior of matter is considered "chaotic" for different types of matter.
During the hiring process, the length of the initial contract is equal to the duration of the selection or promotion procedure, but it cannot exceed three months	Duration of coverage can exceed three months	not_entailment	In the case of filling a job during the selection periods, the duration of the contract will be the same as the time which the selection or promotion lasts, up to a maximum of three months.	Coverage can be longer than three months.
Michael Jackson, as reported by the author, spent his final days reading the Bible and listening to a variety of music, including classical and that of the Gipsy Kings, which was not typically his preference	The author says that Michael Jackson read the Bible during his last days and he heard classical music and the Gypsy King	entailment	According to the author, Michael Jackson’s last days were lived in chaos and were spent reading the Bible and listening to music as diverse as classical and the Gipsy Kings—which he was usually not very fond of.	The author says that Michael Jackson read the Bible during his last days and he heard classical music and the Gypsy King
Consequently, he eventually loses control and, on an imaginary island, is appointed as the ruler by a small group of creatures	He is imagining himself as a king	entailment	Therefore, one day he explodes, and on the back of his imagination, reaches a strange island where a handful of monsters make him his king.	He is becoming an imaginary king.
Ecological colognes and cosmetics: there is a diverse selection of products made from natural ingredients and essences that are non-toxic and environmentally friendly	It is necessary to forbid the manufacturing of perfumes and cosmetics to prevent the utilization of hazardous substances that can harm the environment	not_entailment	Ecological colognes and cosmetics: there is a wide array with all types of natural contents and essences that are not toxic while being respectful to the environment.	The production of perfumes and cosmetics must be prohibited in order to avoid the usage of toxic products that are harmful to the environment.
It is our responsibility to take action and prevent cancer from spreading further	Cancer cells can spread to various parts of the body in individuals	entailment	However, the obligation to stop it in its tracks and prevent metastasis includes us all.	Metastasis can reach us all.
These ones fulfill moderation, they make us happy.	We are happy with them.	entailment	These ones fulfill moderation, they make us happy.	We are happy with them.
According to Fukuyama, the advancements in technology have led to an unequal distribution of benefits, with the most talented and educated individuals experiencing greater advantages than others	Technology helps the most disadvantaged in terms of talent and training.	not_entailment	In addition to the globalization of the labor force, the liberalization of world trade and right-wing fiscal policies, Fukuyama believes that “the villain is technology”: “The benefits provided by the most recent waves of technological innovation have increased disproportionately for the most talented and educated citizens.”	Technology helps the most disadvantaged in terms of talent and training.
Those individuals refer to themselves as journalists, and they hold the belief that they are performing a service to society	These individuals who identify as journalists merely hinder the intellectual growth of others	entailment	They call themselves journalists and they believe they are doing social work, but the only thing they do is turn people into idiots with their bullshit information.	These people who call themselves journalists only stultify people.
According to Mark Dow, an expert from Pharo Management, who spoke to the WSJ, investors are disposing of Venezuelan debt due to anticipated losses following the Dubai crisis	All Venezuelan debt has been sold.	not_entailment	US expert Mark Dow, from Pharo Management, has confirmed to the WSJ that investors are selling Venezuelan debt to avoid further losses after the Dubai crisis, aware that Venezuela’s banking system “is going to implode.”	All Venezuelan debt has been sold.
Despite providing home delivery services to homeless individuals, the Bank has had to limit its operations due to an excessive number of demands for its other offerings	The Bank cancelled home delivery to street people.	not_entailment	Although the Bank has maintained home delivery for homeless people, it has had to restrict its activity because of the avalanche of requests for the rest of its services.	The Bank cancelled home delivery to street people.
