premise	hypothesis	gold_label	original_premise
This young man is skilled at advancing his social status	this young man knows how to improve his position in the social hierarchy	entailment	this young man knows how to climb the social ladder
prices increased at a significant rate	prices went up steeply	entailment	prices climbed steeply
these operations are causing the market to become congested	the market is being hindered by these operations	entailment	the market is being clogged by these operations
fear prevented clear thinking in her mind	fear impeded her thoughts	entailment	fear clogged her mind
my emotions influence my perspective on this matter	my personal feelings influence my judgment in this case	entailment	my personal feelings color my judgment in this case
The content of his lectures reflects his political beliefs	his political ideas influence his lectures	entailment	his political ideas color his lectures
the rooms were interconnected	the rooms were connected to each other	entailment	the rooms communicated
His wife's illness kept him from socializing frequently	his devotion to his sick wife made him have a lonely existence	entailment	his devotion to his sick wife condemned him to a lonely existence
The fire destroyed the building by burning it completely	the fire overtook the building	entailment	the fire consumed the building
The comedian caused the crowd to laugh uncontrollably	the comedian created great laughter in the crowd	entailment	the comedian convulsed the crowd
I will assist you whenever you need help	you can trust me to help you any time	entailment	you can count on me to help you any time
The old cheese was infested with live flies or their larvae	the old cheese had maggots crawling on it	entailment	the old cheese was crawling with maggots
The speech concluded the meeting	the speech completed the meeting	entailment	the speech crowned the meeting
At the top of the building, there is a weather vane	a weather vane sits atop the building	entailment	a weather vane crowns the building
His rejection of her invitation left her feeling very disappointed and sad	she was saddened by his refusal of her invitation	entailment	she was crushed by his refusal of her invitation
Seurat reached the highest level of development in pointillism	seurat was the climax of pointillism .	entailment	seurat culminated pointillism.
disappointed by the refusal	disheartened by the refusal	entailment	dashed by the refusal
He came to realize that she had deceived him	he realized that she had betrayed him	entailment	it dawned on him that she had betrayed him
the use of computers had become commonplace	the age of computers had begun	entailment	the age of computers had dawned
the negative evaluation of his work reduced his belief in his abilities	the bad review of his work diminished his self-confidence	entailment	the bad review of his work deflated his self-confidence
the new measures had a negative impact on the economy	the new measures lowered the general level of prices in the economy	entailment	the new measures deflated the economy
an excessive amount of oil led to a decrease in gas prices	the glut of oil reduced gas prices	entailment	the glut of oil depressed gas prices
The amount of rainfall had decreased, resulting in a lower water level in the reservoir	the lack of rain had lowered the water level in the reservoir	entailment	the lack of rain had depressed the water level in the reservoir
She created a valid reason for not going to classes that day	she came up with a good excuse for not attending classes that day .	entailment	she designed a good excuse for not attending classes that day.
Our home was consumed by fire	fire had decimated our home	entailment	fire had devoured our home
She consumed all of his novels	she avidly read his novels	entailment	she devoured his novels
This information overwhelms me	i cannot comprehend all this information	entailment	i cannot digest all this information
The government transformed the entire law into a written code	the government arranged the entire law into a code	entailment	the government digested the entire law into a code
Before dinner, he consumed three martinis	he drank three martinis before dinner.	entailment	he downed three martinis before dinner.
Some people consume over a pound of meat during a single meal	some people can swallow a pound of meat in the course of one meal.	entailment	some people can down a pound of meat in the course of one meal.
The prices of stocks are gradually increasing	stock prices are steadily moving higher	entailment	stock prices are drifting higher
My son lived in California for several years before attending law school	my son wandered around for years in california before going to law school	entailment	my son drifted around for years in california before going to law school
The stock market experienced a gradual increase in value	the stock market steadily moved upward	entailment	the stock market drifted upward
The mother listens carefully to every word spoken by her son during his stage performance	the mother is completely attentive to every word of her son on the stage	entailment	the mother drinks in every word of her son on the stage
I was overwhelmed by the amount of work I had to do	i was overwhelmed by work	entailment	i was drowned in work
She consumed large amounts of alcohol in an attempt to alleviate her emotional distress	she covered up her trouble with alcohol	entailment	she drowned her trouble in alcohol
In the stage of her life called middle age, her desire for traveling lessened	middle age lessened her desire for travel	entailment	middle age dulled her appetite for travel
The company terminated his employment after many years of working for them	the company fired him after many years of service	entailment	the company dumped him after many years of service
The study produced some favorable outcomes	some nice results happened as a result of the study	entailment	some nice results emerged from the study
the event left a deep impression on her memory	the event was added firmly into her memory	entailment	the event engraved itself into her memory
	the turks eradicated the armenians in 1915	entailment	the turks erased the armenians in 1915
When he learned that the secretary was resigning, the boss reacted strongly	the boss became very angry when he heard of the resignation of the secretary	entailment	the boss exploded when he heard of the resignation of the secretary
The Middle East is undergoing significant political and social changes	the middle east is becoming more agitated	entailment	the middle east is fermenting
make the child feel proud of himself/herself	make the child feel proud	entailment	fill the child with pride
Each star appeared to shine more brightly	every star seemed to shine with new intensity	entailment	every star seemed to flare with new intensity.
The night sky was illuminated by the large-scale explosion	the night sky lit up with the massive bombardment.	entailment	the night sky flared with the massive bombardment.
The most recent information is communicated to all command posts	the latest intelligence is communicated quickly to all command posts	entailment	the latest intelligence is flashed to all command posts
The father hit him with his hand	the father hit him swiftly with his hand.	entailment	the father flicked him with his hand.
The Republicans are proposing a change to the tax system	the republicans are proposing the idea of a tax reform	entailment	the republicans are floating the idea of a tax reform
The dancer moved gracefully and weightlessly, as if she was not touching the ground, on	the dancer moved fluidly across the stage	entailment	the dancer floated across the stage
The government allowed the ruble to be traded on international markets for several months	the government allowed the value of the ruble to be determined by the markets for a few months	entailment	the government floated the ruble for a few months
The crowd exited the stadium in large numbers	the crowd moved as a liquid out of the stadium	entailment	the crowd flowed out of the stadium
The sky took on a rosy hue	the sky glowed with rosy splendor	entailment	the sky flushed with rosy splendor
shape the young child's personality	develop the young child's character	entailment	form the young child's character
the press was prevented from reporting or publishing information	the press was silenced	entailment	the press was gagged
The moon reflected its light onto the lake's surface	the moon showed its reflection in the lake's surface	entailment	the moon glared back at itself from the lake's surface
The sun shone directly towards us	the sun shone brightly down on us	entailment	the sun glared down on us
her face was radiant after she emerged from the sauna	her face shined when she came out of the sauna	entailment	her face glowed when she came out of the sauna
this story will hold your attention effectively	this story will interest you	entailment	this story will grab you
The conversation focused on political topics	the subject of the conversation changed to politics	entailment	the conversation gravitated towards politics
he struggled to understand the relationship between the two things	his mind attempted to make the connection	entailment	his mind groped to make the connection
The raindrops ran down the ground in large quantities	the heavy rain made channels in the soil.	entailment	the heavy rain guttered the soil.
align one's objectives with one's capabilities	make one's goals compatible with one's abilities	entailment	harmonize one's goals with one's abilities
These rivers originate from a mountain range located in the Himalayas	these rivers originate from a mountain range in the himalayas	entailment	these rivers head from a mountain range in the himalayas
The wheat reached maturity and was ready for harvest earlier than usual this year	the wheat came up from the soil early this year	entailment	the wheat headed early this year
he assigned him numerous tasks	he burdened him with work	entailment	he heaped him with work
The oscillator adjusts its frequency around the target value	the oscillator moves in a state of instability about the correct frequency	entailment	the oscillator hunts about the correct frequency
The extravagant lifestyle of the wealthy causes resentment among the impoverished	the ostentatious way of living of the rich triggers the hatred of the poor	entailment	the ostentatious way of living of the rich ignites the hatred of the poor
their language makes us think they are telling the truth	their language makes us consider believing them	entailment	their language inclines us to believe them
his laughter causes others in the same room to laugh as well	his laughter spreads to everyone who is in the same room	entailment	his laughter infects everyone who is in the same room
the prices of the charges were increased	the charges were exaggerated	entailment	the charges were inflated
increase the supply of currency in circulation	increase the quantity of the currency	entailment	inflate the currency
he revived the performance with fresh energy	he brought novelty into the performance	entailment	he injected new life into the performance
she had to manage her employment responsibilities and take care of her children simultaneously	she had to manage her job and her children at the same time	entailment	she had to juggle her job and her children
The gun recoiled and hit my shoulder	the gun recoiled into my shoulder.	entailment	the gun kicked back into my shoulder.
The businessman obtained millions of dollars through fraudulent means	the businessman stole millions of dollars	entailment	the businessman kited millions of dollars
this could result in your arrest	this may result in your being in jail	entailment	this may land you in jail
establish the initial framework for a new health care program	make the start for a new health care plan	entailment	lay the foundation for a new health care plan
assign a task to someone	give someone a responsibility	entailment	lay a responsibility on someone
the news became known to the paper without it being officially announced	the news were revealed secretly to the paper	entailment	the news were leaked to the paper
the news became known to the public despite his efforts to keep it hidden	the news was revealed publicly despite his secrecy	entailment	the news leaked out despite his secrecy
Westerns possess a quality of being timeless and reminiscent of ancient gladiatorial cont	Westerns have a violent-like-gladiator-combat , timeless quality .	entailment	‘ Westerns have a gladiatorial , timeless quality .
The sale of the item for £did not occur immediately, as I	£45,000 was the asking price and I was not surprised that the sale , so to speak , was delayed .	entailment	£45,000 was the asking price and I was not surprised that the sale , so to speak , hung fire .
Primal Scream is not known for producing soft, introspective musical compositions	Primal Scream Not a name which would lead you to expect self-absorbed acoustic pieces of music .	entailment	Primal Scream Not a name which would lead you to expect self-absorbed acoustic doodlings .
London's leading pair reacted to this by making September last a particularly long time	London 's leading pair , as if annoyed by this , turned 30 September into the longest afternoon .	entailment	London 's leading pair , as if piqued by this , turned 30 September into the longest afternoon .
The voice on the phone was noticeably enthusiastic, and it took him a minute to understand the	The voice at the other end was plainly over-excited and it took him a minute to separate into discrete units what he was being told .	entailment	The voice at the other end was plainly over-excited and it took him a minute to disentangle what he was being told .
A fly alighted on the vacant, unblinking helmet visor, and moved along	A fly landed on the empty , shiny vizor , and crawled across it .	entailment	A fly landed on the empty , staring vizor , and crawled across it .
The stains on the carpet have remained despite all the renaming of the place	The stains on the carpet have outlasted every name change .	entailment	The stains on the carpet have survived every name change .
Paula leaned against the cutting table in an attempt to appear unconcerned	Paula stayed in an elevated position against the cutting table trying to look nonchalant .	entailment	Paula perched herself against the cutting table trying to look nonchalant .
Locate a Toyota Corolla or a	Find a 1980 Toyota Corolla or 1982 Nissan Sunny that has not yielded to rust , and you can buy with confidence .	entailment	Find a 1980 Toyota Corolla or 1982 Nissan Sunny that has not succumbed to rust , and you can buy with confidence .
A dog barked from one of the stone sheds, but there was no evidence of anyone being	The muffled barking of a dog came from one of the stone sheds , but there was no sign of life around the buildings .	entailment	The hollow barking of a dog came from one of the stone sheds , but there was no sign of life around the buildings .
Recently, there has been an additional aspect to the situation, involving both media and politicians as well as	Recently , of course , there has been an added dimension — part given excessive and meaningless words by media and politicians , part real : drugs .	entailment	Recently , of course , there has been an added dimension — part media-and-politician inflated , part real : drugs .
It would also guarantee that workers have legal protections and lessen the focus on union privile	Second , it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union exemptions from specified duties .	entailment	Second , it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union immunities .
Extremely tired	Very tired .	entailment	Exhausted .
They manage to convince their parents of the positive aspects of their situation, providing them with a sense of	They win their parents over with an optimistic vision of the world which is decidedly reassuring .	entailment	They win their parents over with a rose-tinted vision of the world which is decidedly reassuring .
Regardless of the location, the clothing choices vary — some individuals wear slacks in this place,	No matter ; only the accents change — and the pants : here , the socially conventional people wear slacks , the good guys blue-jeans .	entailment	No matter ; only the accents change — and the pants : here , the squares wear slacks , the good guys blue-jeans .
Other organizations could not merge into the Central Office but could still come under its control	Other organizations could not be incorporated but could still be brought within the Central Office orbit .	entailment	Other organizations could not be absorbed but could still be brought within the Central Office orbit .
Nor, if we possess a refined manner, do we intend to get intoxicated	Nor , if we are in civilised mindset , because we wish to become drunk .	entailment	Nor , if we are in civilised cast of mind , because we wish to become drunk .
Was a tiger, moving silently, hiding in the metal jungle and potentially approaching them?	Was it even now secretly following them , moving soundlessly from cover to cover , like a tiger in the steel jungle ?	entailment	Was it even now shadowing them , moving soundlessly from cover to cover , like a tiger in the steel jungle ?
Berry's songs express the feelings and experiences of rock'n'roll rebellion or youth	Berry 's songs are plausible representations of rock'n'roll rebellion or , at any rate , youthful hedonism .	entailment	Berry 's songs are plausible emblems of rock'n'roll rebellion or , at any rate , youthful hedonism .
appears to be fully conscious; could have woken up	seems to be awake and very alert could of got up	entailment	seems to be wide awake could of got up
Rocastle performed a step-over, allowing him to bypass Thomas, who was advancing	A neat step-over by Rocastle sent Thomas hurtling in on goal but Rhodes moved sharply off his line to get in the way of the shot .	entailment	A neat step-over by Rocastle sent Thomas hurtling in on goal but Rhodes moved sharply off his line to smother the shot .
She survived for a couple of years after suffering a stroke	Well I suppose she lived er a couple of years after the stroke Gordon .	entailment	Well I reckon she lived er a couple of years after the stroke Gordon .
Since the trust took over, there has been an increase in the amount of paperwork we have had	‘ We 've had more paperwork , not less , since the trust took over , ’ Buzz said severely .	entailment	‘ We 've had more paperwork , not less , since the trust took over , ’ Buzz said tartly .
You might have thought this was the police making threats or using force	You might have assumed this was the police scaring with a false show of strength and bullying .	entailment	You might have assumed this was the police bluffing and bullying .
Rescue you from carrying them	Except for you , except for you carrying them .	entailment	Save you , save you carrying them .
She dozed off while hearing soft music coming from the drawing-room	She fell asleep to the sound of music emanating from the drawing-room .	entailment	She fell asleep to the sound of music drifting upwards from the drawing-room .
You must wait for it to become less empty and allow life to enter	You have to hope that its blankness will slowly clear away and let life in .	entailment	You have to hope that its blankness will slowly dissolve and let life in .
In industrialised societies, the elimination of hazardous wastes is a complex and challenging issue	The disposal of toxic wastes is one of the most difficult problems for industrialised societies to solve .	entailment	The disposal of toxic wastes is one of the most intractable problems facing industrialised societies .
Those who disapprove or dismiss these appetites, whether identified as puritans or pess	Let puritans and pessimists damn , disapprove or dismiss these strong desires ; that is their loss .	entailment	Let puritans and pessimists damn , disapprove or dismiss these appetites ; that is their loss .
Avon moves carefully	Avon proceeds warily .	entailment	Avon treads warily .
Although there were numerous and diverse actions taken by Arsenal during the first minutes, they	Despite many and varied sudden activities in the first 40 minutes , Arsenal seemed reasonably secure if not inspired .	entailment	Despite many and varied flurries of activity in the first 40 minutes , Arsenal seemed reasonably secure if not inspired .
The house, made of red bricks, was not illuminated by golden light	No golden light surrounded the red brick of the house .	entailment	No golden light bathed the red brick of the house .
Does the rule regarding ' serious physical injury ' go beyond the boundaries of what is considered murder ?	Does the ‘ grievous bodily harm ’ rule add too much to the definition of murder ?	entailment	Does the ‘ grievous bodily harm ’ rule extend the definition of murder too far ?
After closing the front door, Adam hesitated for a moment before stepping away	Adam closed the front door and stood there for a moment as if he could not pull himself away .	entailment	Adam closed the front door and stood there for a moment as if he could not wrench himself away .
In the first attempt, all the necessary elements were successfully included	This was conveniently summarized briefly in the first try .	entailment	This was conveniently encapsulated in the first try .
However, the unions were not the only ones engaging in assuming false positions and feigning actions	But ‘ pretending to have an opinion ’ went far beyond the unions .	entailment	But ‘ posturing and pretending ’ went far beyond the unions .
Following this, the Intifada would strengthen its reputation as a productive, rather than a destructive	Second , it would strengthen the image and essence of the Intifada as a constructive , not a destructive , force .	entailment	Second , it would consolidate the image and essence of the Intifada as a constructive , not a destructive , force .
And the Spirit descended towards the earth	And the Spirit , lowering itself earthward ,	entailment	And the Spirit ,  stooping  earthward ,
Drew a curved route for it	Lightly drew a winding pathway for it ,	entailment	Traced  a winding pathway for it ,
Then a large, white cloud began to spread out	Then a snow-white cloud developing ,	entailment	Then a snow-white cloud  unfolding  ,
Until it reached the highest point in the sky	Till it reached the top of heaven ,	entailment	Till it  touched  the top of heaven ,
Now it is clear that we have the greatest strength	Now you discover that we are strongest ,	entailment	Now you  find  that we are strongest ,
only added fuel to the fire	Only caused the fire to burn brighter ,	entailment	Only  made  the fire burn brighter ,
Ran my hands over the rough hills in a gentle manner	Added smoothness to the rugged hills ,	entailment	Touched  the rugged hills with smoothness ,
His eyes were focused on their footprints	On their tracks his eyes were fixated ,	entailment	On their tracks his eyes were  fastened  ,
His heart beat rapidly inside his chest	And his heart within him pumped rapidly ,	entailment	And his heart within him  fluttered  ,
Hiawatha was deeply impressed and felt great admiration	Experiencing great awe was Hiawatha	entailment	Filled  with awe was Hiawatha
Mudjekeewis experienced great happiness	Experiencing great joy was Mudjekeewis	entailment	Filled  with joy was Mudjekeewis
He experienced a memory of his younger days	Saw his youth rebel before him	entailment	Saw his youth  rise  up before him
You make the past days reappear or come back	You bring back the days past ,	entailment	You bring back the days  departed  ,
You revive in me the intense emotions I had during my youth	You restore my youth of passion ,	entailment	You  bring  back my youth of passion ,
A long time has passed since that day	In the days long since past ,	entailment	In the days long since  departed  ,
Put thoughts or ideas into the minds of young men	Occupy the fiery brains of young men ?	entailment	Fill  the fiery brains of young men ?
When he touched him, he felt an increase in courage	At his touch he experienced new courage	entailment	At his touch he  felt  new courage
Until the night enveloped them completely	Till the darkness surrounded them ,	entailment	Till the darkness  fell  around them ,
When earth comes into contact with it, a form begins to emerge	Assuming shape when earth it touches ,	entailment	Taking  shape when earth it touches ,
Until the night enveloped them completely	Till the darkness surrounded them ,	entailment	Till the darkness  fell  around them ,
Until the night sets in for us	Till the darkness surrounds us ,	entailment	Till the darkness  falls  around us ,
Concerned that his strength might weaken or give out	Fearing lest he should lose his strength ,	entailment	Fearing lest his strength should  fail  him ,
The landscape revolved around him	Round about him enveloped the landscape ,	entailment	Round about him  spun  the landscape ,
His heart beat strongly within his chest	And he became very happy ,	entailment	And his strong heart  leaped  within him ,
The horizon was characterized by intense redness and widening appearance	Shone like fire and flared the red horizon ,	entailment	Blazed  and flared the red horizon ,
The horizon was characterized by intense redness and a noticeable widening	Blazed and shone out suddenly the red horizon ,	entailment	Blazed and  flared  the red horizon ,
communicated to the people the information that had been kept secret before	And made the people know about	entailment	And  made  known unto the people
The pathway was directly located between them	Straight between them extended the pathway ,	entailment	Straight between them  ran  the pathway ,
They were unable to create hostility towards each other	Could not create ill-will between them ,	entailment	Could not  breed  ill-will between them ,
They consulted with one another	For they listened to each other 's advice ,	entailment	For they  kept  each other 's counsel ,
Now he aroused strong emotions in them	Now he made their souls passionate ,	entailment	Now he  stirred  their souls to passion ,
Now he managed to make them feel deep sympathy for him	Now he humbled them to pity .	entailment	Now he  melted  them to pity .
The feelings of all men were made more sensitive	All the men were made kinder and gentler	entailment	All the hearts of men were  softened
His strength is combined with goodness	For his strength united with goodness .	entailment	For his strength  allied  to goodness .
Rose did not respond angrily to 's statement	Rose , but gave no angry answer ,	entailment	Rose , but  made  no angry answer ;
A small stream guided them further	Where they followed a brooklet onward ,	entailment	Where a brooklet  led  them onward ,
They did not respond to the challenge posed by them	To their challenge gave no answer ,	entailment	To their challenge  made  no answer ,
The season of summer is approaching	For the Summer-time will soon begin ,	entailment	For the Summer-time is  coming  ,
Heard a loud, fearful noise	A sound let out , a cry of horror ,	entailment	Went  a sound , a cry of horror ,
His thoughts functioned like paddles for him	For his thoughts functioned as paddles for him ,	entailment	For his thoughts as paddles  served  him ,
His desires influenced his actions	And his wishes were useful for guiding him ;	entailment	And his wishes  served  to guide him ;
His desires influenced his actions	And his wishes served to give him a sense of direction ;	entailment	And his wishes served to  guide  him ;
Until the waves reached the rib cage	Till the waves flowed through the rib-bones ,	entailment	Till the waves  washed  through the rib-bones ,
With their breath, they produced a strong heat	With their fiery breath gave an answer :	entailment	With their fiery breath  made  answer :
Until the moon was directly overhead and shone down on him	Till the level moon shone constantly on him	entailment	Till the level moon  stared  at him
He dealt blows to it, but it was not harmed	Harmless landed the blows he dealt it	entailment	Harmless  fell  the blows he dealt it
The harmless war-club fell down heavily	Harmless struck the heavy war-club ;	entailment	Harmless  fell  the heavy war-club ;
From which branches hang mosses	From whose branches hanged the mosses ,	entailment	From whose branches  trailed  the mosses ,
Him, who caused the high fever in	Him who gave the fiery fever ,	entailment	Him , who  sent  the fiery fever ,
His heartbeat was faster than his walking pace	And his heart lasted longer than his footsteps ;	entailment	And his heart  outran  his footsteps ;
Then, he added his comments, articulating each word deliberately	And then said additionally , speaking slowly ,	entailment	And then  added  , speaking slowly ,
responded seriously to 's question	And gave an answer very gravely :	entailment	And  made  answer very gravely :
Express your feelings openly, Minnehaha	Speak sincerely , Minnehaha !	entailment	Let your heart  speak  , Minnehaha ! "
He slowed down his speed	Though his pace he limited and slackened	entailment	Though his pace he  checked  and slackened
He slowed down his speed	Though his pace he checked and gradually decreased in intensity	entailment	Though his pace he checked and  slackened
We wish that the time could move faster	That the time might progress more gayly ,	entailment	That the time might  pass  more gayly ,
I wish the time would pass more quickly	That the time may progress more gayly ,	entailment	That the time may  pass  more gayly ,
I wish the time would pass more quickly	That the time may advance more gayly ,	entailment	That the time may  pass  more gayly ,
Just like springs that come into contact with sunlight,	As the springs to be exposed to the sunshine ,	entailment	As the springs to  meet  the sunshine ,
When the clouds are directly overhead, casting their shadows on it	When the clouds make shadows on it !	entailment	When the clouds  drop  shadows on it !
My heart feels lighter after being troubled	Then my troubled heart is made more cheerful ,	entailment	Then my troubled heart is  brightened  ,
They gave him applause that he felt envious of	Jealous of the applause they made for him ,	entailment	Jealous of the applause they  gave  him ,
Would you please believe what he says?	Would you only believe him ,	entailment	Would you only  give  him credence ,
I wish the time would pass more quickly	That the time may advance more gayly ,	entailment	That the time may  pass  more gayly ,
All the water turned completely red	All the water given a crimson color !	entailment	All the water  flushed  with crimson !
They perceived an increase in it	And they experienced it rising , rising	entailment	And they  felt  it rising , rising ,
They sensed an increase in it	And they felt it increasing, increasing	entailment	And they felt it  rising  , rising ,
I was unable to perceive the intensity of your emotions	Could not experience your heart of passion	entailment	Could not  see  your heart of passion ,
After those days that brought happiness,	Of the happy days that occurred afterward	entailment	Of the happy days that  followed  ,
Clad in darkness	Surrounded by darkness like a garment	entailment	Robed  with darkness as a garment .
Until the trees around us were shaking with the sound of genuine laughter	Till the tree-tops shook from the laughter of creatures on them	entailment	Till the tree-tops  shook  with laughter ,
Once the night came without making any noise	When the noiseless night began	entailment	When the noiseless night  descended
Guskewau was enveloped by the darkness	Guskewau , the darkness , surrounded her	entailment	Guskewau , the darkness ,  wrapped  her
Until the cornfields were filled with actual laughter from people	Till the cornfields reverberated with laughter	entailment	Till the cornfields  rang  with laughter ,
And the melody that this shape inspired generated sentence: And the sound that was produced by observing	And the song this shape reminded one of	entailment	And the song this shape  suggested
I have such a powerful influence over you	Such the spell I made upon you	entailment	Such the spell I  cast  upon you ,
Made the entire earth completely quiet	Made everything on the earth silent	entailment	Covered  all the earth with silence ,
Spring arrived, and all the forest began to show signs of new growth	Began the Spring , and all the forest	entailment	Came  the Spring , and all the forest
Clouds are being removed from the sky	As the clouds are cleared from heaven	entailment	As the clouds are  swept  from heaven ,
As ice is removed from rivers	As the ice is carried from rivers	entailment	As the ice is  swept  from rivers ,
The heavens were located much higher than him	Far above him things moved in the heavens	entailment	Far above him  swam  the heavens ,
He will not be harmed by my desire for retribution	That my vengeance shall not affect him !	entailment	That my vengeance shall not  reach  him ! "
He answered in a cautious manner	With reserve he thus gave an answer	entailment	With reserve he thus  made  answer :
Until it had gathered itself, or Until it had collected itself	Till it pulled itself together	entailment	Till it  drew  itself together ,
Until it assumed the shape and characteristics	Till it acquired the form and features	entailment	Till it  took  the form and features
Using a large club, he struck the doorways	With his war-club struck the doorways	entailment	With his war-club  smote  the doorways ,
Kwasind felt a strong desire to sleep	Kwasind experienced a drowsiness	entailment	Fell  a drowsiness on Kwasind ;
The winter storm was very windy and noisy	Raged and made a loud resounding noise the wintry tempest	entailment	Raged and  roared  the wintry tempest ,
Disasters do not occur one at a time	So disasters occur not singly	entailment	So disasters  come  not singly ;
Their features did not change at all	Not a change happened to their features	entailment	Not a change  came  o'er their features ;
We have tested or examined you	We have made you undergo the trial	entailment	We have  put  you to the trial ,
Collapsed and was unable to stand up due to weakness	Fell , and could not improve their situation from weakness	entailment	Fell , and could not  rise  from weakness ,
She covered her face without responding	Hid her face , but gave no answer	entailment	Hid her face , but  made  no answer ;
Based on their facial expressions towards her	At the looks they gave to her	entailment	At the looks they  cast  upon her ,
We can spend the night in each other's company	Let us spend the night together	entailment	Let us  pass  the night together ,
All meadows have flowers growing in them and they sway gently in the wind	All the meadows move back and forth repeatedly with blossoms	entailment	All the meadows  wave  with blossoms ,
As they talked, the night passed	While they spake , the night ended	entailment	While they spake , the night  departed  :
Spring arrived, bringing with it its beauty	The Spring happened with all its splendor	entailment	Came  the Spring with all its splendor ,
Received sunlight on his face	Shone the sunshine on his features	entailment	Fell  the sunshine on his features ,
Experienced the evening with its decreasing light and lower temperatures	Began the evening 's dusk and coolness	entailment	Fell  the evening 's dusk and coolness ,
He is troubled by him; he casts malevolent glances at him	Torments him ; round he looks with his baleful eyes	entailment	Torments him ; round he  throws  his baleful eyes
Rest and hope are perpetually absent	And rest can never stay , hope never comes	entailment	And rest can never  dwell  , hope never comes
Rest never settles, hope never arrives	And rest can never dwell , hope is never felt	entailment	And rest can never dwell , hope never  comes
he learned the knowledge and beliefs of his tribe	he learned the knowledge or beliefs of his tribe.	entailment	he absorbed the knowledge or beliefs of his tribe.
he paid for the damages caused by the accident	he took the costs for the accident.	entailment	he absorbed the costs for the accident.
The sales tax is added to the state income tax	the sales tax is incorporated into the state income tax.	entailment	the sales tax is absorbed into the state income tax.
Immigrants assimilated into society at a fast rate	the immigrants were quickly assimilated into society.	entailment	the immigrants were quickly absorbed into society.
it is necessary to follow the regulations	you must obey the rules.	entailment	you must adhere to the rules.
The individuals living in this community practice the Catholic religion	the residents of this village were religious about catholicism.	entailment	the residents of this village adhered to catholicism.
there is no answer to this problem	this problem has no solution	entailment	this problem admits of no solution
She expressed her views about welfare	she broadcasted her opinions on welfare	entailment	she aired her opinions on welfare
This idea will not develop into a significant or productive outcome	this idea will never become anything	entailment	this idea will never amount to anything
