premise	hypothesis	gold_label	original_premise
Her optimism removed these worries.	Her optimism gave away these worries	not_entailment	Her optimism stole away these worries
The new moon is visible between the branches of the trees.	The new moon rises through the tree tops	entailment	The new moon peers through the tree tops
The new moon is visible between the branches of the trees.	The new moon sets through the tree tops	not_entailment	The new moon peers through the tree tops
My head rested on her neck.	My head rested in the crook of her neck	entailment	My head lay in the crook of her neck
My head rested on her neck.	My head moved in the crook of her neck	not_entailment	My head lay in the crook of her neck
The clouds moved in a circular motion in the sky.	The clouds spun each other around in the sky	entailment	The clouds twirled each other around in the sky
The clouds moved in a circular motion in the sky.	The clouds stagnated each other around in the sky	not_entailment	The clouds twirled each other around in the sky
The volume of the music gradually increased.	The music played in the background	entailment	The music swelled in the background
The volume of the music gradually increased.	The music stopped in the background	not_entailment	The music swelled in the background
The unexpected popularity ignited her self-esteem.	The sudden fame increased her ego	entailment	The sudden fame kindled her ego
The unexpected popularity ignited her self-esteem.	The sudden fame decreased her ego	not_entailment	The sudden fame kindled her ego
She made all the men fall in love with her.	She had all the men's hearts	entailment	She captured all the men's hearts
She made all the men fall in love with her.	She lacked all the men's hearts	not_entailment	She captured all the men's hearts
My alarm made a loud noise at me this morning.	My alarm buzzed at me this morning	entailment	My alarm roared at me this morning
My alarm made a loud noise at me this morning.	My alarm was quiet this morning	not_entailment	My alarm roared at me this morning
Adrenaline flows through his body with great force.	Adrenaline flows through him powerfully	entailment	Adrenaline swims through him powerfully
Adrenaline flows through his body with great force.	Adrenaline ebbs through him powerfully	not_entailment	Adrenaline swims through him powerfully
He endured the financial consequences of the accident.	He borne the costs for the accident	entailment	He weathered the costs for the accident
He endured the financial consequences of the accident.	He avoided the costs for the accident	not_entailment	He weathered the costs for the accident
His cheeks formed indentations.	Dimples formed in his cheeks	entailment	Dimples burst forth in his cheeks
His cheeks formed indentations.	Dimples disappeared in his cheeks	not_entailment	Dimples burst forth in his cheeks
The attackers fired gunshots at the civilians.	The attackers fired gunshots at the civilians	entailment	The attackers spat gunshots at the civilians
The attackers fired gunshots at the civilians.	The attackers resisted gunshots at the civilians	not_entailment	The attackers spat gunshots at the civilians
I will not submit to the act of reading other people's mail.	I won't go to reading other people's mail	entailment	I won't bow to reading other people's mail
I will not submit to the act of reading other people's mail.	I will go to reading other people's mail	not_entailment	I won't bow to reading other people's mail
My eyes felt irritated and I could feel my face becoming hot.	My eyes teared up and I could feel my face turning red	entailment	My eyes burned up and I could feel my face turning red
My eyes felt irritated and I could feel my face becoming hot.	My eyes dried up and I could feel my face turning red	not_entailment	My eyes burned up and I could feel my face turning red
I worked hard on the task.	I struggled through the work	entailment	I toiled through the work
I worked hard on the task.	I aced through the work	not_entailment	I toiled through the work
After drinking a glass of wine, he became more talkative.	After a glass of wine, he relaxed up a bit	entailment	After a glass of wine, he unfurled up a bit
After drinking a glass of wine, he became more talkative.	After a glass of wine, he stressed up a bit	not_entailment	After a glass of wine, he unfurled up a bit
The images were illuminated by the bright light that made him feel warm.	The images reflected in the brilliance that covered him warm	entailment	The images basked in the brilliance that covered him warm
The images were illuminated by the bright light that made him feel warm.	The images disregarded in the brilliance that covered him warm	not_entailment	The images basked in the brilliance that covered him warm
The snow covered the earth in a way that resembles a mother covering her infant child with a blanket.	The snow covered the earth like a mother would her infant child	entailment	The snow blanketed the earth like a mother would her infant child
The snow covered the earth in a way that resembles a mother covering her infant child with a blanket.	The snow exposed the earth like a mother would her infant child	not_entailment	The snow blanketed the earth like a mother would her infant child
This fact conflicted with the standard theories.	This fact went against the standard theories	entailment	This fact warred against the standard theories
This fact conflicted with the standard theories.	This fact came in favor of the standard theories	not_entailment	This fact warred against the standard theories
She ate sunflower seeds.	She sowed sunflower seeds	entailment	She dawned sunflower seeds
She ate sunflower seeds.	She destroyed sunflower seeds	not_entailment	She dawned sunflower seeds
I suppressed my anger and remained silent.	I controlled my anger and kept quiet	entailment	I muffled my anger and kept quiet
I suppressed my anger and remained silent.	I showed my anger and kept quiet	not_entailment	I muffled my anger and kept quiet
The company fired him after many years of employment.	The company fired him after many years of service	entailment	The company booted him after many years of service
The company fired him after many years of employment.	The company hired him after many years of service	not_entailment	The company booted him after many years of service
The spasm contracts her facial muscles.	The spasm convulses her facial muscles	entailment	The spasm whips her facial muscles
The spasm contracts her facial muscles.	The spasm straightens her facial muscles	not_entailment	The spasm whips her facial muscles
I controlled my anger and remained silent.	I controlled my anger and kept quiet	entailment	I restrained my anger and kept quiet
I controlled my anger and remained silent.	I showed my anger and kept quiet	not_entailment	I restrained my anger and kept quiet
The car hit the toy.	The car crushed the toy	entailment	The car pummeled the toy
The car hit the toy.	The car avoided the toy	not_entailment	The car pummeled the toy
The music played happily in the background.	The music played in the background	entailment	The music frolicked in the background
The music played happily in the background.	The music stopped in the background	not_entailment	The music frolicked in the background
Am I expected to believe that story?	Am I supposed to believe that story?	entailment	Am I supposed to swallow that story?
Am I expected to believe that story?	Am I supposed to disbelieve that story?	not_entailment	Am I supposed to swallow that story?
The event was firmly embedded in her memory.	The event etched itself into her memory	entailment	The event carved  itself into her memory
The event was firmly embedded in her memory.	The event withdrew itself from her memory	not_entailment	The event carved  itself into her memory
He lay in front of the rising sun.	He lay before the growing sun	entailment	He lay before the gathering sun
He lay in front of the rising sun.	He lay before the setting sun	not_entailment	He lay before the gathering sun
The critics promoted this Broadway production.	The critics overpraised this broadway production	entailment	The critics hyped this broadway production
The critics promoted this Broadway production.	The critics rebuked this broadway production	not_entailment	The critics hyped this broadway production
It seemed to him that she had broken her promise to him.	It occured to him that she had betrayed him	entailment	It appeared to him that she had betrayed him
It seemed to him that she had broken her promise to him.	It preceeded to him that she had betrayed him	not_entailment	It appeared to him that she had betrayed him
The new measures changed the economy.	The new measures affected the economy	entailment	The new measures transformed the economy
The new measures changed the economy.	The new measures stagnated the economy	not_entailment	The new measures transformed the economy
Brightness had spread over the area where there was no light.	Light had replaced darkness	entailment	Light had overgrown darkness
Brightness had spread over the area where there was no light.	Light had kept darkness	not_entailment	Light had overgrown darkness
The loud banging on the door was more insistent now.	The knocking on the door was more assertive now	entailment	The roaring on the door was more assertive now
The loud banging on the door was more insistent now.	The protecting on the door was more assertive now	not_entailment	The roaring on the door was more assertive now
Summer and its enjoyable activities were bestowed upon you.	For summer and his pleasures begin on thee	entailment	For summer and his pleasures graced on thee
Summer and its enjoyable activities were bestowed upon you.	For summer and his pleasures end on thee	not_entailment	For summer and his pleasures graced on thee
I wanted to withdraw money, but the ATM stopped working.	I wanted to get money, but the ATM stopped	entailment	I wanted to get money, but the ATM froze
I wanted to withdraw money, but the ATM stopped working.	I wanted to get money, but the ATM started	not_entailment	I wanted to get money, but the ATM froze
The dancer moved smoothly across the stage.	The dancer moved across the stage	entailment	The dancer glided across the stage
The dancer moved smoothly across the stage.	The dancer paused across the stage	not_entailment	The dancer glided across the stage
I feel happy when he enters the room.	My heart beats when he walks in the room	entailment	My heart sings when he walks in the room
I feel happy when he enters the room.	My heart stops when he walks in the room	not_entailment	My heart sings when he walks in the room
A star is placed on top of the Christmas tree.	A star tops the Christmas Tree	entailment	A star crowns the Christmas Tree
A star is placed on top of the Christmas tree.	A star messes the Christmas Tree	not_entailment	A star crowns the Christmas Tree
I spent years struggling to make this decision.	I struggled with this decision for years	entailment	I wrestled with this decision for years
I spent years struggling to make this decision.	I eased with this decision for years	not_entailment	I wrestled with this decision for years
We spent a lot of money on our children's education.	We put money into the education of our children	entailment	We streamed money into the education of our children
We spent a lot of money on our children's education.	We refused money into the education of our children	not_entailment	We streamed money into the education of our children
The bus moved quickly down the road.	The bus paced down the road	entailment	The bus bolted down the road
The bus moved quickly down the road.	The bus slowed down the road	not_entailment	The bus bolted down the road
Gradually, his cognitive abilities and physical power increased.	Slowly his sense and strength increased	entailment	Slowly his sense and strength grew
Gradually, his cognitive abilities and physical power increased.	Slowly his sense and strength decreased	not_entailment	Slowly his sense and strength grew
He suppressed remorse and restrained despair.	He crushed remorse and pushed down despair	entailment	He crushed remorse and stifled down despair
He suppressed remorse and restrained despair.	He crushed remorse and pulled up despair	not_entailment	He crushed remorse and stifled down despair
She talks a lot of words that don't make sense.	She speaks a lot of nonsense	entailment	She babbles a lot of nonsense
She talks a lot of words that don't make sense.	She avoids a lot of nonsense	not_entailment	She babbles a lot of nonsense
Furthermore, the storm destroyed the town.	In addition, the storm devastated the town	entailment	In addition, the storm bombed the town
Furthermore, the storm destroyed the town.	In addition, the storm protected the town	not_entailment	In addition, the storm bombed the town
Her bones feel cold and empty.	The cold chill her bones	entailment	The cold hollows her bones
Her bones feel cold and empty.	The cold comforts her bones	not_entailment	The cold hollows her bones
The small droplets of water that merge together adhere to my coat.	The little raindrops falling together stick upon my coat	entailment	The little raindrops collapsing together stick upon my coat
The small droplets of water that merge together adhere to my coat.	The little raindrops stopping together stick upon my coat	not_entailment	The little raindrops collapsing together stick upon my coat
He paid for the accident.	He borne the costs for the accident	entailment	He shouldered the costs for the accident
He paid for the accident.	He neglected the costs for the accident	not_entailment	He shouldered the costs for the accident
Black sand fell in quiet, metal-filled moments.	Black desert covered in iron silences	entailment	Black desert rained in iron silences
Black sand fell in quiet, metal-filled moments.	Black desert uncovered in iron silences	not_entailment	Black desert rained in iron silences
She had to manage her job and her children at the same time.	She had to manage her job and her children	entailment	She had to juggle her job and her children
She had to manage her job and her children at the same time.	She had to avoid her job and her children	not_entailment	She had to juggle her job and her children
Which horse are you relying on?	Which horse are you betting on	entailment	Which horse are you depending  on
Which horse are you relying on?	Which horse are you surrendering on	not_entailment	Which horse are you depending  on
The images created in the bright light that surrounded him were warm.	The images reflected in the brilliance that covered him warm	entailment	The images cast in the brilliance that covered him warm
The images created in the bright light that surrounded him were warm.	The images disregarded in the brilliance that covered him warm	not_entailment	The images cast in the brilliance that covered him warm
The moon's reflection appeared on the lake's surface.	The moon reflected back at itself from the lake’s surface	entailment	The moon betrayed back at itself from the lake’s surface
The moon's reflection appeared on the lake's surface.	The moon absorbed back at itself from the lake’s surface	not_entailment	The moon betrayed back at itself from the lake’s surface
My emotions obscured my ability to make a rational decision in this instance.	My personal feelings influenced my judgment in this case	entailment	My personal feelings shadowed my judgment in this case
My emotions obscured my ability to make a rational decision in this instance.	My personal feelings kept my judgment in this case	not_entailment	My personal feelings shadowed my judgment in this case
The bus moved slowly down the road.	The bus paced down the road	entailment	The bus drizzled down the road
The bus moved slowly down the road.	The bus slowed down the road	not_entailment	The bus drizzled down the road
The book stimulated her imagination.	The book had her imagination	entailment	The book captured her imagination
The book stimulated her imagination.	The book failed her imagination	not_entailment	The book captured her imagination
I desire to develop in the presence of sunlight one more time.	I want to be in sunshine once again	entailment	I want to grow in sunshine once again
I desire to develop in the presence of sunlight one more time.	I want to hide in sunshine once again	not_entailment	I want to grow in sunshine once again
The scent of her hair is barely noticeable.	Of that faint fragrance being from her soft hair	entailment	Of that faint fragrance rising from her soft hair
The scent of her hair is barely noticeable.	Of that faint fragrance stagnating in her soft hair	not_entailment	Of that faint fragrance rising from her soft hair
I wanted to withdraw money, but the ATM stopped working.	I wanted to get money, but the ATM stopped	entailment	I wanted to get money, but the ATM surrendered
I wanted to withdraw money, but the ATM stopped working.	I wanted to get money, but the ATM started	not_entailment	I wanted to get money, but the ATM surrendered
I miss looking into her eyes and observing her.	I miss staring in her eyes and watching her	entailment	I miss swimming in her eyes and watching her
I miss looking into her eyes and observing her.	I miss neglecting in her eyes and watching her	not_entailment	I miss swimming in her eyes and watching her
My head feels warm after drinking a bottle of champagne.	My brain is right after the bottle of champagne	entailment	My brain is glowing after the bottle of champagne
My head feels warm after drinking a bottle of champagne.	My brain is not after the bottle of champagne	not_entailment	My brain is glowing after the bottle of champagne
As they hit the ground, they are erased.	As they reach the ground, they are forgotten	entailment	As they strike the ground, they are effaced
As they hit the ground, they are erased.	As they reach the ground, they are remembered	not_entailment	As they strike the ground, they are effaced
The children smiled and laughed with joy.	The children danced with joy	entailment	The children twinkled with joy
The children smiled and laughed with joy.	The children sulked with joy	not_entailment	The children twinkled with joy
To destroy the sound of my extreme pain.	To guts the sob of my agony	entailment	To ravage the sob of my agony
To destroy the sound of my extreme pain.	To cheer the sob of my agony	not_entailment	To ravage the sob of my agony
Shaking with anger, and his face turned white with fury.	Trembling for ire , and look pale for rage	entailment	Trembling for ire , and painted pale for rage
Shaking with anger, and his face turned white with fury.	Trembling for ire , and disregard pale for rage	not_entailment	Trembling for ire , and painted pale for rage
The play will make some people feel angry.	The play is going to hurt few people	entailment	The play is going to burn few people
The play will make some people feel angry.	The play is going to cheer few people	not_entailment	The play is going to burn few people
I lie down in bed at a late hour.	In the depth of the night I lie in the bed	entailment	In the depth of the night I sink in the bed
I lie down in bed at a late hour.	In the depth of the night I wake up from the bed	not_entailment	In the depth of the night I sink in the bed
We must praise the kindness she demonstrated to us.	We must acknowledge the kindness she showed towards us	entailment	We must salute the kindness she showed towards us
We must praise the kindness she demonstrated to us.	We must disavow the kindness she showed towards us	not_entailment	We must salute the kindness she showed towards us
The teapot vibrated as the water reached its boiling point.	The teapot shook as the water boiled	entailment	The teapot shuddered as the water boiled
The teapot vibrated as the water reached its boiling point.	The teapot soothed as the water boiled	not_entailment	The teapot shuddered as the water boiled
The value of the dollar has decreased due to inflation.	The dollar has been reduced by inflation	entailment	The dollar has been dragged by inflation
The value of the dollar has decreased due to inflation.	The dollar has been increased by inflation	not_entailment	The dollar has been dragged by inflation
He ignored my protests.	He put aside my objections	entailment	He pushed aside my objections
He ignored my protests.	He removed aside my objections	not_entailment	He pushed aside my objections
But the feeling of fear spread through the intestines.	But frozen dread continued through their entrails dear ;	entailment	But frozen dread permeated through the entrails dear ;
But the feeling of fear spread through the intestines.	But frozen dread ceased through their entrails dear ;	not_entailment	But frozen dread permeated through the entrails dear ;
After drinking a glass of wine, he became more relaxed and less tense.	After a glass of wine, he relaxed up a bit	entailment	After a glass of wine, he loosened up a bit
After drinking a glass of wine, he became more relaxed and less tense.	After a glass of wine, he stressed up a bit	not_entailment	After a glass of wine, he loosened up a bit
The cigarettes destroyed his health.	The cigarettes affected his health	entailment	The cigarettes snuffed his health
The cigarettes destroyed his health.	The cigarettes cured his health	not_entailment	The cigarettes snuffed his health
The avalanche destroyed everything in its path.	The avalanche destroyed anything standing in its way	entailment	The avalanche polvarized  anything standing in its way
The avalanche destroyed everything in its path.	The avalanche protected anything standing in its way	not_entailment	The avalanche polvarized  anything standing in its way
Water flowed quickly and spread across the floor.	Water poured all over the floor	entailment	Water galloped down all over the floor
Water flowed quickly and spread across the floor.	Water backed up all over the floor	not_entailment	Water galloped down all over the floor
John stood behind his classmates.	John was behind his class mates	entailment	John loomed behind his class mates
John stood behind his classmates.	John wasn't behind his class mates	not_entailment	John loomed behind his class mates
The clouds moved in a circular motion in the sky.	The clouds spun each other around in the sky	entailment	The clouds waltzed each other around in the sky
The clouds moved in a circular motion in the sky.	The clouds stagnated each other around in the sky	not_entailment	The clouds waltzed each other around in the sky
Oaths of homage were obtained with great difficulty.	Oaths of homage fiercely prevailed	entailment	Oaths of homage fiercely won
Oaths of homage were obtained with great difficulty.	Oaths of homage fiercely left	not_entailment	Oaths of homage fiercely won
She concludes her lectures with a joke.	She ends her lectures with joke	entailment	She seals her lectures with joke
She concludes her lectures with a joke.	She starts her lectures with joke	not_entailment	She seals her lectures with joke
The car collided with the toy and caused it to break.	The car crushed the toy	entailment	The car smashed the toy
The car collided with the toy and caused it to break.	The car avoided the toy	not_entailment	The car smashed the toy
The play is going to physically attack a few people.	The play is going to hurt few people	entailment	The play is going to pummel a few people
The play is going to physically attack a few people.	The play is going to cheer few people	not_entailment	The play is going to pummel a few people
The alarm clock emitted a loud sound this morning.	My alarm buzzed at me this morning	entailment	My alarm yelled at me this morning
The alarm clock emitted a loud sound this morning.	My alarm was quiet this morning	not_entailment	My alarm yelled at me this morning
My head rested in the curve of her neck.	My head rested in the crook of her neck	entailment	My head dwelled in the crook of her neck
My head rested in the curve of her neck.	My head moved in the crook of her neck	not_entailment	My head dwelled in the crook of her neck
She entered a life of luxury.	She fell into the luxury of life	entailment	She slipped into the luxury of life
She entered a life of luxury.	She rose into the luxury of life	not_entailment	She slipped into the luxury of life
The flowers moved in the light wind.	The flowers moved in the gentle breeze	entailment	The flowers danced in the gentle breeze
The flowers moved in the light wind.	The flowers stopped in the gentle breeze	not_entailment	The flowers danced in the gentle breeze
He always shows his teeth.	He always has a smile	entailment	He always flashes a smile
He always shows his teeth.	He always hides a smile	not_entailment	He always flashes a smile
The wildfire spread through the forest very quickly.	The wildfire spread through the forest at an amazing speed	entailment	The wildfire leapt through the forest at an amazing speed
The wildfire spread through the forest very quickly.	The wildfire halted through the forest at an amazing speed	not_entailment	The wildfire leapt through the forest at an amazing speed
People were running out of the theater very quickly.	People were running out of the theater	entailment	People were bolting out of the theater
People were running out of the theater very quickly.	People were standing out of the theater	not_entailment	People were bolting out of the theater
He suppressed his feelings of remorse and became overwhelmed by despair.	He crushed remorse and pushed down despair	entailment	He crushed remorse and sunk down despair
He suppressed his feelings of remorse and became overwhelmed by despair.	He crushed remorse and pulled up despair	not_entailment	He crushed remorse and sunk down despair
Sniffles, coughs, and colds are present in their upper respiratory tracts.	Sniffles, coughs, and colds develop in their breasts	entailment	Sniffles, coughs, and colds gurgle in their breasts
Sniffles, coughs, and colds are present in their upper respiratory tracts.	Sniffles, coughs, and colds reduced in their breasts	not_entailment	Sniffles, coughs, and colds gurgle in their breasts
He was affected by a severe disease that caused his death within a short time.	He was stricken with a terrible illness that killed him quickly	entailment	He was gripped with a terrible illness that killed him quickly
He was affected by a severe disease that caused his death within a short time.	He was unaffected with a terrible illness that killed him quickly	not_entailment	He was gripped with a terrible illness that killed him quickly
The snow covered the earth, resembling the way a mother wraps her baby in a blanket.	The snow covered the earth like a mother would her infant child	entailment	The snow swaddled the earth like a mother would her infant child
The snow covered the earth, resembling the way a mother wraps her baby in a blanket.	The snow exposed the earth like a mother would her infant child	not_entailment	The snow swaddled the earth like a mother would her infant child
But the natural process of germination produces it with imperfections.	But nature create it imperfect ever	entailment	But nature germinate it imperfect ever
But the natural process of germination produces it with imperfections.	But nature dismantled it imperfect ever	not_entailment	But nature germinate it imperfect ever
She asked the witnesses for information.	She asked the witnesses for information	entailment	She petitioned the witnesses for information
She asked the witnesses for information.	She guarded the witnesses for information	not_entailment	She petitioned the witnesses for information
He ignored my objections.	He put aside my objections	entailment	He swept aside my objections
He ignored my objections.	He removed aside my objections	not_entailment	He swept aside my objections
She hit the wall with all her strength.	She pushed against the wall with all her strength	entailment	She hailed against the wall with all her strength
She hit the wall with all her strength.	She pulled against the wall with all her strength	not_entailment	She hailed against the wall with all her strength
The moon's light illuminated the stars in the night sky.	The moon shined at the stars in the sky	entailment	The moon smiled at the stars in the sky
The moon's light illuminated the stars in the night sky.	The moon darkened at the stars in the sky	not_entailment	The moon smiled at the stars in the sky
Furthermore, the storm destroyed the town.	In addition, the storm devastated the town	entailment	In addition, the storm trampled the town
Furthermore, the storm destroyed the town.	In addition, the storm protected the town	not_entailment	In addition, the storm trampled the town
The thoughts that were in the head were very intense and occupied all the mind's attention.	Consumed by the thoughts that were in the head	entailment	Consumed by the thoughts that churned in the head
The thoughts that were in the head were very intense and occupied all the mind's attention.	Consumed by the thoughts that weren't in the head	not_entailment	Consumed by the thoughts that churned in the head
He spread fertilizer over the lawn.	He spread fertilizer over the lawn	entailment	He peppered fertilizer over the lawn
He spread fertilizer over the lawn.	He gathered fertilizer over the lawn	not_entailment	He peppered fertilizer over the lawn
I worked through the tasks with difficulty.	I struggled through the work	entailment	I waded through the work
I worked through the tasks with difficulty.	I aced through the work	not_entailment	I waded through the work
People were leaving the theater in large numbers.	People were running out of the theater	entailment	People were streaming out of the theater
People were leaving the theater in large numbers.	People were standing out of the theater	not_entailment	People were streaming out of the theater
The value of the dollar has decreased due to inflation.	The dollar has been reduced by inflation	entailment	The dollar has been dried by inflation
The value of the dollar has decreased due to inflation.	The dollar has been increased by inflation	not_entailment	The dollar has been dried by inflation
Am I expected to believe that story?	Am I supposed to believe that story?	entailment	Am I supposed to gobble up that story?
Am I expected to believe that story?	Am I supposed to disbelieve that story?	not_entailment	Am I supposed to gobble up that story?
The car made a bleating sound as the key was turned with force in the ignition.	The car honked as the key was roughly turned in its ignition	entailment	The car bleated as the key was roughly turned in its ignition
The car made a bleating sound as the key was turned with force in the ignition.	The car failed as the key was roughly turned in its ignition	not_entailment	The car bleated as the key was roughly turned in its ignition
The approaching car's headlights were pointed in my direction.	The approaching car's headlights reflected at me	entailment	The approaching car's headlights looked back at me
