premise	hypothesis	gold_label	original_premise
The mother listens to every word her son says on stage.	the mother is completely attentive to every word of her son on the stage	entailment	the mother drinks in every word of her son on the stage
I was overwhelmed with a large amount of work.	i was overwhelmed by work	entailment	i was drowned in work
She drank alcohol to forget her problems.	she covered up her trouble with alcohol	entailment	she drowned her trouble in alcohol
As she got older, she became less interested in travelling.	middle age lessened her desire for travel	entailment	middle age dulled her appetite for travel
The company terminated his employment after many years of work.	the company fired him after many years of service	entailment	the company dumped him after many years of service
Some positive outcomes were obtained from the research.	some nice results happened as a result of the study	entailment	some nice results emerged from the study
The event left a permanent impression on her memory.	the event was added firmly into her memory	entailment	the event engraved itself into her memory
The Turks killed the Armenians in 1915.	the turks eradicated the armenians in 1915	entailment	the turks erased the armenians in 1915
The boss became very angry when he was informed of the secretary's resignation.	the boss became very angry when he heard of the resignation of the secretary	entailment	the boss exploded when he heard of the resignation of the secretary
The Middle East is experiencing political and social instability, leading to potential unrest and conflict.	the middle east is becoming more agitated	entailment	the middle east is fermenting
The child felt proud.	make the child feel proud	entailment	fill the child with pride
Each star appeared to burn more brightly than before.	every star seemed to shine with new intensity	entailment	every star seemed to flare with new intensity.
The night sky suddenly lit up with the intense light of the massive bombardment.	the night sky lit up with the massive bombardment.	entailment	the night sky flared with the massive bombardment.
The most recent information is transmitted to every command post.	the latest intelligence is communicated quickly to all command posts	entailment	the latest intelligence is flashed to all command posts
The father hit him with his hand.	the father hit him swiftly with his hand.	entailment	the father flicked him with his hand.
The Republicans are suggesting a tax reform.	the republicans are proposing the idea of a tax reform	entailment	the republicans are floating the idea of a tax reform
The dancer moved gracefully across the stage.	the dancer moved fluidly across the stage	entailment	the dancer floated across the stage
The government allowed the ruble to fluctuate freely in the market for a few months.	the government allowed the value of the ruble to be determined by the markets for a few months	entailment	the government floated the ruble for a few months
The crowd moved out of the stadium in a continuous stream.	the crowd moved as a liquid out of the stadium	entailment	the crowd flowed out of the stadium
The sky turned pink.	the sky glowed with rosy splendor	entailment	the sky flushed with rosy splendor
Develop the young child's personality traits.	develop the young child's character	entailment	form the young child's character
The journalists were prevented from speaking freely.	the press was silenced	entailment	the press was gagged
The moon's reflection on the lake's surface was visible.	the moon showed its reflection in the lake's surface	entailment	the moon glared back at itself from the lake's surface
The sun shone brightly and intensely upon us.	the sun shone brightly down on us	entailment	the sun glared down on us
Her face was warm and red after she exited the sauna.	her face shined when she came out of the sauna	entailment	her face glowed when she came out of the sauna
This story will capture your attention.	this story will interest you	entailment	this story will grab you
The conversation gradually shifted to the topic of politics.	the subject of the conversation changed to politics	entailment	the conversation gravitated towards politics
He tried to think of a link.	his mind attempted to make the connection	entailment	his mind groped to make the connection
The intense rainfall eroded the top layer of the ground.	the heavy rain made channels in the soil.	entailment	the heavy rain guttered the soil.
Make one's goals and abilities work together.	make one's goals compatible with one's abilities	entailment	harmonize one's goals with one's abilities
These rivers originate from a mountainous area in the Himalayas.	these rivers originate from a mountain range in the himalayas	entailment	these rivers head from a mountain range in the himalayas
The wheat's heads developed early this year.	the wheat came up from the soil early this year	entailment	the wheat headed early this year
He gave him a large amount of work.	he burdened him with work	entailment	he heaped him with work
The oscillator searches for the precise frequency.	the oscillator moves in a state of instability about the correct frequency	entailment	the oscillator hunts about the correct frequency
The rich people's showy lifestyle causes the poor to feel angry.	the ostentatious way of living of the rich triggers the hatred of the poor	entailment	the ostentatious way of living of the rich ignites the hatred of the poor
The way they speak makes us think they are telling the truth.	their language makes us consider believing them	entailment	their language inclines us to believe them
His laughter makes everyone in the same room laugh.	his laughter spreads to everyone who is in the same room	entailment	his laughter infects everyone who is in the same room
The charges were exaggerated.	the charges were exaggerated	entailment	the charges were inflated
Increase the amount of money in circulation.	increase the quantity of the currency	entailment	inflate the currency
He made the performance more lively.	he brought novelty into the performance	entailment	he injected new life into the performance
She had to manage her job and her children simultaneously.	she had to manage her job and her children at the same time	entailment	she had to juggle her job and her children
The recoil of the gun pushed my shoulder backwards.	the gun recoiled into my shoulder.	entailment	the gun kicked back into my shoulder.
The businessman illegally transferred millions of dollars.	the businessman stole millions of dollars	entailment	the businessman kited millions of dollars
This may result in you being placed in a correctional facility.	this may result in your being in jail	entailment	this may land you in jail
Create the initial structure for a new health care plan.	make the start for a new health care plan	entailment	lay the foundation for a new health care plan
Place a responsibility on someone.	give someone a responsibility	entailment	lay a responsibility on someone
Someone gave the information to the newspaper without authorisation.	the news were revealed secretly to the paper	entailment	the news were leaked to the paper
The news was revealed even though he tried to keep it hidden.	the news was revealed publicly despite his secrecy	entailment	the news leaked out despite his secrecy
Westerns have a quality that resembles gladiatorial combat and is not affected by the passage of time.	Westerns have a violent-like-gladiator-combat , timeless quality .	entailment	‘ Westerns have a gladiatorial , timeless quality .
The seller asked for £45,000 and I was not surprised that the sale did not happen immediately.	£45,000 was the asking price and I was not surprised that the sale , so to speak , was delayed .	entailment	£45,000 was the asking price and I was not surprised that the sale , so to speak , hung fire .
Primal Scream is not a name that would make you anticipate self-centred acoustic sketches.	Primal Scream Not a name which would lead you to expect self-absorbed acoustic pieces of music .	entailment	Primal Scream Not a name which would lead you to expect self-absorbed acoustic doodlings .
London's leading pair, feeling annoyed by this, made 30 September feel like the longest afternoon.	London 's leading pair , as if annoyed by this , turned 30 September into the longest afternoon .	entailment	London 's leading pair , as if piqued by this , turned 30 September into the longest afternoon .
The person speaking on the other end of the line was clearly in a state of heightened emotion, and it required a moment for the listener to comprehend the information being conveyed.	The voice at the other end was plainly over-excited and it took him a minute to separate into discrete units what he was being told .	entailment	The voice at the other end was plainly over-excited and it took him a minute to disentangle what he was being told .
An insect landed on the vacant, unblinking helmet's transparent covering, and moved across the surface.	A fly landed on the empty , shiny vizor , and crawled across it .	entailment	A fly landed on the empty , staring vizor , and crawled across it .
The marks on the floor covering have remained after each alteration of the label.	The stains on the carpet have outlasted every name change .	entailment	The stains on the carpet have survived every name change .
Paula leaned against the table used for cutting, attempting to appear relaxed and unconcerned.	Paula stayed in an elevated position against the cutting table trying to look nonchalant .	entailment	Paula perched herself against the cutting table trying to look nonchalant .
Find a 1980 Toyota Corolla or 1982 Nissan Sunny that has not been affected by rust, and you can purchase it with certainty.	Find a 1980 Toyota Corolla or 1982 Nissan Sunny that has not yielded to rust , and you can buy with confidence .	entailment	Find a 1980 Toyota Corolla or 1982 Nissan Sunny that has not succumbed to rust , and you can buy with confidence .
A dog's loud, empty-sounding bark came from one of the stone sheds, but there was no visible activity near the buildings.	The muffled barking of a dog came from one of the stone sheds , but there was no sign of life around the buildings .	entailment	The hollow barking of a dog came from one of the stone sheds , but there was no sign of life around the buildings .
Recently, there has been an additional aspect, which is partly exaggerated by the media and politicians, and partly a genuine issue: drugs.	Recently , of course , there has been an added dimension — part given excessive and meaningless words by media and politicians , part real : drugs .	entailment	Recently , of course , there has been an added dimension — part media-and-politician inflated , part real : drugs .
Secondly, this would guarantee that employees benefited from legally protected entitlements and diminish the importance of union privileges.	Second , it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union exemptions from specified duties .	entailment	Second , it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union immunities .
Completely tired and lacking energy.	Very tired .	entailment	Exhausted .
They convince their parents with a positive and optimistic view of the world, which makes their parents feel more confident and secure.	They win their parents over with an optimistic vision of the world which is decidedly reassuring .	entailment	They win their parents over with a rose-tinted vision of the world which is decidedly reassuring .
No matter; only the accents change — and the clothing: here, the squares wear slacks, the good guys blue-jeans.	No matter ; only the accents change — and the pants : here , the socially conventional people wear slacks , the good guys blue-jeans .	entailment	No matter ; only the accents change — and the pants : here , the squares wear slacks , the good guys blue-jeans .
Other organizations could not be included but could still be influenced by the Central Office.	Other organizations could not be incorporated but could still be brought within the Central Office orbit .	entailment	Other organizations could not be absorbed but could still be brought within the Central Office orbit .
Nor, if we are in a state of rationality, because we desire to reach a state of intoxication.	Nor , if we are in civilised mindset , because we wish to become drunk .	entailment	Nor , if we are in civilised cast of mind , because we wish to become drunk .
Was it even now following them, moving silently from one hiding place to another, like a tiger in the city?	Was it even now secretly following them , moving soundlessly from cover to cover , like a tiger in the steel jungle ?	entailment	Was it even now shadowing them , moving soundlessly from cover to cover , like a tiger in the steel jungle ?
Berry's songs are convincing symbols of rock'n'roll rebellion or, at any rate, young people's pursuit of pleasure.	Berry 's songs are plausible representations of rock'n'roll rebellion or , at any rate , youthful hedonism .	entailment	Berry 's songs are plausible emblems of rock'n'roll rebellion or , at any rate , youthful hedonism .
The person appears to be fully alert and could have risen from their bed.	seems to be awake and very alert could of got up	entailment	seems to be wide awake could of got up
Rocastle passed the ball to Thomas with a precise movement, allowing Thomas to run towards the goal, but Rhodes quickly left his position to block the shot.	A neat step-over by Rocastle sent Thomas hurtling in on goal but Rhodes moved sharply off his line to get in the way of the shot .	entailment	A neat step-over by Rocastle sent Thomas hurtling in on goal but Rhodes moved sharply off his line to smother the shot .
I estimate that she survived for approximately two years following the stroke, according to Gordon.	Well I suppose she lived er a couple of years after the stroke Gordon .	entailment	Well I reckon she lived er a couple of years after the stroke Gordon .
Buzz said in a sharp tone that the amount of paperwork has increased after the trust assumed control.	‘ We 've had more paperwork , not less , since the trust took over , ’ Buzz said severely .	entailment	‘ We 've had more paperwork , not less , since the trust took over , ’ Buzz said tartly .
You might have thought this was the police pretending and intimidating.	You might have assumed this was the police scaring with a false show of strength and bullying .	entailment	You might have assumed this was the police bluffing and bullying .
I will help you so that you do not have to carry them.	Except for you , except for you carrying them .	entailment	Save you , save you carrying them .
She fell asleep while listening to music coming from the room below.	She fell asleep to the sound of music emanating from the drawing-room .	entailment	She fell asleep to the sound of music drifting upwards from the drawing-room .
You have to hope that the blankness will gradually disappear and allow life to enter.	You have to hope that its blankness will slowly clear away and let life in .	entailment	You have to hope that its blankness will slowly dissolve and let life in .
The process of getting rid of harmful substances is a difficult issue that industrialised countries need to address.	The disposal of toxic wastes is one of the most difficult problems for industrialised societies to solve .	entailment	The disposal of toxic wastes is one of the most intractable problems facing industrialised societies .
Let those who are strict and negative about pleasure criticize, reject or ignore these desires; they are missing out.	Let puritans and pessimists damn , disapprove or dismiss these strong desires ; that is their loss .	entailment	Let puritans and pessimists damn , disapprove or dismiss these appetites ; that is their loss .
Avon walks carefully.	Avon proceeds warily .	entailment	Avon treads warily .
Although there were numerous and diverse periods of intense action during the initial 40 minutes, Arsenal appeared to be relatively safe, even if they were not particularly motivated.	Despite many and varied sudden activities in the first 40 minutes , Arsenal seemed reasonably secure if not inspired .	entailment	Despite many and varied flurries of activity in the first 40 minutes , Arsenal seemed reasonably secure if not inspired .
The house's red brick exterior was not illuminated by any light of a golden colour.	No golden light surrounded the red brick of the house .	entailment	No golden light bathed the red brick of the house .
Does the 'serious physical injury' rule broaden the definition of murder excessively?	Does the ‘ grievous bodily harm ’ rule add too much to the definition of murder ?	entailment	Does the ‘ grievous bodily harm ’ rule extend the definition of murder too far ?
Adam closed the front door and remained there for a moment as if he was unable to move.	Adam closed the front door and stood there for a moment as if he could not pull himself away .	entailment	Adam closed the front door and stood there for a moment as if he could not wrench himself away .
The first attempt successfully contained the substance.	This was conveniently summarized briefly in the first try .	entailment	This was conveniently encapsulated in the first try .
But the act of assuming false positions and making false claims extended to a much wider range of organizations.	But ‘ pretending to have an opinion ’ went far beyond the unions .	entailment	But ‘ posturing and pretending ’ went far beyond the unions .
Secondly, this would strengthen the perception and fundamental nature of the Intifada as a positive and beneficial influence, rather than a harmful one.	Second , it would strengthen the image and essence of the Intifada as a constructive , not a destructive , force .	entailment	Second , it would consolidate the image and essence of the Intifada as a constructive , not a destructive , force .
The Spirit, bending down towards the earth,	And the Spirit , lowering itself earthward ,	entailment	And the Spirit ,  stooping  earthward ,
Drew a curved line for it.	Lightly drew a winding pathway for it ,	entailment	Traced  a winding pathway for it ,
Then a cloud that is the color of snow expanded.	Then a snow-white cloud developing ,	entailment	Then a snow-white cloud  unfolding  ,
It reached the highest point in the sky.	Till it reached the top of heaven ,	entailment	Till it  touched  the top of heaven ,
Now you have discovered that we are the most powerful.	Now you discover that we are strongest ,	entailment	Now you  find  that we are strongest ,
Only adding fuel to the fire made the flames grow in intensity.	Only caused the fire to burn brighter ,	entailment	Only  made  the fire burn brighter ,
The hills were stroked with a gentle, smooth touch.	Added smoothness to the rugged hills ,	entailment	Touched  the rugged hills with smoothness ,
His eyes were fixed on the train tracks.	On their tracks his eyes were fixated ,	entailment	On their tracks his eyes were  fastened  ,
His heart rate increased rapidly.	And his heart within him pumped rapidly ,	entailment	And his heart within him  fluttered  ,
Hiawatha was full of awe.	Experiencing great awe was Hiawatha	entailment	Filled  with awe was Hiawatha
Mudjekeewis was experiencing a state of happiness.	Experiencing great joy was Mudjekeewis	entailment	Filled  with joy was Mudjekeewis
He witnessed his past as a young person appear in front of him.	Saw his youth rebel before him	entailment	Saw his youth  rise  up before him
You remind me of past times.	You bring back the days past ,	entailment	You bring back the days  departed  ,
You remind me of my passionate younger years.	You restore my youth of passion ,	entailment	You  bring  back my youth of passion ,
In the past.	In the days long since past ,	entailment	In the days long since  departed  ,
Provide the passionate and enthusiastic minds of young males with knowledge and information.	Occupy the fiery brains of young men ?	entailment	Fill  the fiery brains of young men ?
When he was touched, he felt a renewed sense of bravery.	At his touch he experienced new courage	entailment	At his touch he  felt  new courage
Until the darkness surrounded them.	Till the darkness surrounded them ,	entailment	Till the darkness  fell  around them ,
The object forms when it comes into contact with the ground.	Assuming shape when earth it touches ,	entailment	Taking  shape when earth it touches ,
Until the absence of light surrounded them.	Till the darkness surrounded them ,	entailment	Till the darkness  fell  around them ,
Until the absence of light surrounds us.	Till the darkness surrounds us ,	entailment	Till the darkness  falls  around us ,
He was afraid that he would lose his strength.	Fearing lest he should lose his strength ,	entailment	Fearing lest his strength should  fail  him ,
The landscape rotated around him.	Round about him enveloped the landscape ,	entailment	Round about him  spun  the landscape ,
His powerful heart jumped inside his body.	And he became very happy ,	entailment	And his strong heart  leaped  within him ,
The red horizon glowed brightly.	Shone like fire and flared the red horizon ,	entailment	Blazed  and flared the red horizon ,
The red horizon was illuminated with bright light.	Blazed and shone out suddenly the red horizon ,	entailment	Blazed and  flared  the red horizon ,
And he communicated the information to the citizens.	And made the people know about	entailment	And  made  known unto the people
The pathway extended in a straight line between the two.	Straight between them extended the pathway ,	entailment	Straight between them  ran  the pathway ,
Could not create a negative relationship between them.	Could not create ill-will between them ,	entailment	Could not  breed  ill-will between them ,
They shared their thoughts and feelings with each other.	For they listened to each other 's advice ,	entailment	For they  kept  each other 's counsel ,
Now he excited their souls to a state of emotional intensity.	Now he made their souls passionate ,	entailment	Now he  stirred  their souls to passion ,
Now he made them feel sorry.	Now he humbled them to pity .	entailment	Now he  melted  them to pity .
All the people became more compassionate.	All the men were made kinder and gentler	entailment	All the hearts of men were  softened
His physical power combined with his moral virtue.	For his strength united with goodness .	entailment	For his strength  allied  to goodness .
Rose did not respond with anger.	Rose , but gave no angry answer ,	entailment	Rose , but  made  no angry answer ;
Where a small stream guided them forward.	Where they followed a brooklet onward ,	entailment	Where a brooklet  led  them onward ,
They did not respond to the challenge.	To their challenge gave no answer ,	entailment	To their challenge  made  no answer ,
The season of summer is approaching.	For the Summer-time will soon begin ,	entailment	For the Summer-time is  coming  ,
A sound was heard, followed by a cry of fear.	A sound let out , a cry of horror ,	entailment	Went  a sound , a cry of horror ,
His thoughts helped him move forward.	For his thoughts functioned as paddles for him ,	entailment	For his thoughts as paddles  served  him ,
His desires provided him with direction.	And his wishes were useful for guiding him ;	entailment	And his wishes  served  to guide him ;
His desires directed him.	And his wishes served to give him a sense of direction ;	entailment	And his wishes served to  guide  him ;
The water reached the area where the rib bones are located.	Till the waves flowed through the rib-bones ,	entailment	Till the waves  washed  through the rib-bones ,
With their hot air expelled from their lungs, they responded.	With their fiery breath gave an answer :	entailment	With their fiery breath  made  answer :
The moon, which was at a low angle in the sky, was visible to him.	Till the level moon shone constantly on him	entailment	Till the level moon  stared  at him
The blows he delivered were not harmful to it.	Harmless landed the blows he dealt it	entailment	Harmless  fell  the blows he dealt it
The war-club, which was heavy, fell without causing harm.	Harmless struck the heavy war-club ;	entailment	Harmless  fell  the heavy war-club ;
Mosses hung from the branches of the tree.	From whose branches hanged the mosses ,	entailment	From whose branches  trailed  the mosses ,
The person who caused the high body temperature.	Him who gave the fiery fever ,	entailment	Him , who  sent  the fiery fever ,
He ran faster than he could physically move.	And his heart lasted longer than his footsteps ;	entailment	And his heart  outran  his footsteps ;
And then he continued to speak, enunciating each word deliberately.	And then said additionally , speaking slowly ,	entailment	And then  added  , speaking slowly ,
And he provided a response with a serious expression.	And gave an answer very gravely :	entailment	And  made  answer very gravely :
Please, express your emotions, Minnehaha!	Speak sincerely , Minnehaha !	entailment	Let your heart  speak  , Minnehaha ! "
He slowed down his walking speed.	Though his pace he limited and slackened	entailment	Though his pace he  checked  and slackened
He slowed down his walking speed.	Though his pace he checked and gradually decreased in intensity	entailment	Though his pace he checked and  slackened
That the time might go by more happily.	That the time might progress more gayly ,	entailment	That the time might  pass  more gayly ,
That the time may go by more happily.	That the time may progress more gayly ,	entailment	That the time may  pass  more gayly ,
That the time may go by more happily.	That the time may advance more gayly ,	entailment	That the time may  pass  more gayly ,
As the springs emerge from the ground to receive sunlight.	As the springs to be exposed to the sunshine ,	entailment	As the springs to  meet  the sunshine ,
When the clouds block sunlight, creating areas of darkness on the ground.	When the clouds make shadows on it !	entailment	When the clouds  drop  shadows on it !
Then my heart, which was previously in a state of distress, experiences a positive change and becomes more cheerful.	Then my troubled heart is made more cheerful ,	entailment	Then my troubled heart is  brightened  ,
Envious of the clapping directed at him,	Jealous of the applause they made for him ,	entailment	Jealous of the applause they  gave  him ,
If you would only believe him.	Would you only believe him ,	entailment	Would you only  give  him credence ,
That the time may move more happily.	That the time may advance more gayly ,	entailment	That the time may  pass  more gayly ,
The water turned red.	All the water given a crimson color !	entailment	All the water  flushed  with crimson !
They sensed the increase in intensity.	And they experienced it rising , rising	entailment	And they  felt  it rising , rising ,
They felt the temperature increasing.	And they felt it increasing, increasing	entailment	And they felt it  rising  , rising ,
I was unable to perceive your emotional enthusiasm.	Could not experience your heart of passion	entailment	Could not  see  your heart of passion ,
Of the days that were filled with happiness after the event.	Of the happy days that occurred afterward	entailment	Of the happy days that  followed  ,
The darkness enveloped the area like a piece of clothing.	Surrounded by darkness like a garment	entailment	Robed  with darkness as a garment .
The leaves of the trees moved in the wind, making a sound that resembled laughter.	Till the tree-tops shook from the laughter of creatures on them	entailment	Till the tree-tops  shook  with laughter ,
When the night, which was devoid of sound, began.	When the noiseless night began	entailment	When the noiseless night  descended
The darkness surrounded her.	Guskewau , the darkness , surrounded her	entailment	Guskewau , the darkness ,  wrapped  her
The cornfields were filled with laughter.	Till the cornfields reverberated with laughter	entailment	Till the cornfields  rang  with laughter ,
The song that this shape made me think of.	And the song this shape reminded one of	entailment	And the song this shape  suggested
I have influenced you in this way.	Such the spell I made upon you	entailment	Such the spell I  cast  upon you ,
The sound of silence filled the entire planet.	Made everything on the earth silent	entailment	Covered  all the earth with silence ,
The season of Spring arrived, and the entire forest	Began the Spring , and all the forest	entailment	Came  the Spring , and all the forest
The clouds are removed from the sky.	As the clouds are cleared from heaven	entailment	As the clouds are  swept  from heaven ,
As the frozen water is removed from rivers.	As the ice is carried from rivers	entailment	As the ice is  swept  from rivers ,
The sky was high above him.	Far above him things moved in the heavens	entailment	Far above him  swam  the heavens ,
My revenge will not physically touch him.	That my vengeance shall not affect him !	entailment	That my vengeance shall not  reach  him ! "
He responded cautiously.	With reserve he thus gave an answer	entailment	With reserve he thus  made  answer :
The object contracted.	Till it pulled itself together	entailment	Till it  drew  itself together ,
It changed its shape and appearance.	Till it acquired the form and features	entailment	Till it  took  the form and features
He hit the doorways with his weapon.	With his war-club struck the doorways	entailment	With his war-club  smote  the doorways ,
Kwasind felt sleepy.	Kwasind experienced a drowsiness	entailment	Fell  a drowsiness on Kwasind ;
The winter storm was very loud and strong.	Raged and made a loud resounding noise the wintry tempest	entailment	Raged and  roared  the wintry tempest ,
Disasters do not occur in isolation.	So disasters occur not singly	entailment	So disasters  come  not singly ;
Their facial expressions did not alter.	Not a change happened to their features	entailment	Not a change  came  o'er their features ;
We have tested you.	We have made you undergo the trial	entailment	We have  put  you to the trial ,
He collapsed and was unable to get up due to physical frailty.	Fell , and could not improve their situation from weakness	entailment	Fell , and could not  rise  from weakness ,
She covered her face and remained silent.	Hid her face , but gave no answer	entailment	Hid her face , but  made  no answer ;
When they looked at her,	At the looks they gave to her	entailment	At the looks they  cast  upon her ,
Let us spend the night in each other's company.	Let us spend the night together	entailment	Let us  pass  the night together ,
All the fields are filled with flowers that are moving in the wind.	All the meadows move back and forth repeatedly with blossoms	entailment	All the meadows  wave  with blossoms ,
As they were talking, the night ended.	While they spake , the night ended	entailment	While they spake , the night  departed  :
The season of Spring arrived, and with it, all the beautiful and vibrant colours and life that it brings.	The Spring happened with all its splendor	entailment	Came  the Spring with all its splendor ,
The sun illuminated his face.	Shone the sunshine on his features	entailment	Fell  the sunshine on his features ,
The evening became darker and cooler.	Began the evening 's dusk and coolness	entailment	Fell  the evening 's dusk and coolness ,
He is in pain; he rolls his eyes.	Torments him ; round he looks with his baleful eyes	entailment	Torments him ; round he  throws  his baleful eyes
And the state of being inactive can never exist, positive anticipation never arrives.	And rest can never stay , hope never comes	entailment	And rest can never  dwell  , hope never comes
