premise	hypothesis	gold_label	original_premise	original_hypothesis
When Babcock &amp; Wilcox retrofitted the 675 MWe AES Somerset boiler, the outage began on May 14, and the boiler was returned to service on June 26 - about a six-week outage.	There was no boiler service outage.	not_entailment	When Babcock &amp; Wilcox retrofitted the 675 MWe AES Somerset boiler, the outage began on May 14, and the boiler was returned to service on June 26 - about a six-week outage.	There was no boiler service outage.
The gentle, comforting, childlike words help us to reduce our worries about computers that malfunction and fail.	Children's words prevent computer crashes, bomb errors and aborted processes.	not_entailment	The soft, warm, children's words allow us to allay our fears about computers that crash and bomb and abort.	Children's words allay crashes, bombs and aborts on computers.
Ross and Mehta find it difficult to describe William Shawn's virtues that are beyond words.	Mehta and Ross find it difficult to describe William Shawn's positive qualities.	entailment	Like Ross, Mehta struggles to express William Shawn's ineffable virtues.	Both Mehta and Ross have a tough time expressing Willliam Shawn's virtues.
I am searching for a word that can be divided into two parts, where one part is smaller than the other.	I have found three words that can be divided into two parts, each part being smaller than the previous one.	not_entailment	As for challenges, I am currently looking for a word that can be cut into two successively smaller forms.	I have found three words that can be cut into two successively smaller forms.
49 A wage premium allows cream skimmers to obtain an efficiency/cost advantage simply by paying the prevailing wage.	Skimmers can make progress by paying the same amount as everyone else.	entailment	49 A wage premium allows cream skimmers to obtain an efficiency/cost advantage simply by paying the prevailing wage.	Skimmers can get ahead by paying what everyone else does.
I hope that you found this issue to be beneficial and inspiring.	I know this issue causes you despair, but look forward to your vacation.	not_entailment	My hope is you were greatly blessed and encouraged by this issue.	I know this issue causes you despair, but look forward to your vacation.
The Great Depression had a significant negative impact on California's economy and society.	California's economy has always thrived.	not_entailment	The Great Depression hit California hard.	California's economy has always thrived.
28 In some cases longer outages are needed.	Sometimes longer outages are needed.	entailment	28 In some cases longer outages are needed.	Sometimes longer outages are needed.
The development of rational expectations was influenced by the study of real-life stock market trading.	No one was interested in actual trading on stock exchanges.	not_entailment	Rational expectations grew, in part, out of an attempt to understand actual trading on stock exchanges.	No one was interested in actual trading on stock exchanges.
care about how the national news affects the local area	I have little interest in what the national news reports about our local regions.	not_entailment	care about how the national news affects the local area	I could care less what the national news covers with concerns about our local areas.
His feelings were hurt by your words.	He is going to punish you for those words.	not_entailment	Your words have rankled with him.	He is going to punish you for those words.
If I died, I would want to be reincarnated as a dog.	I don't believe in any type of afterlife.	not_entailment	yeah i always said if i died well i always said if i died i'd come back as a dog that'd be the best way to be	I don't believe in any type of afterlife.
You are Lord Julian Wade, I understand, was his truculent greeting.	Lord Wade was frequently unresponsive and unfeeling, despite the efforts of many to communicate with him.	not_entailment	You are Lord Julian Wade, I understand, was his truculent greeting.	Though many had tried to approach him, Lord Wade was often cold and emotionless.
The Islamist movement, which began around 1940, is a result of contemporary global influences, including ideas from Marxist-Leninist theory regarding structured revolutionary movements.	The Islamist movement was initially established as a group to encourage social action.	not_entailment	The Islamist movement, born about 1940, is a product of the modern world, influenced by Marxist-Leninist concepts about revolutionary organization.	The Islamist movement was originally founded as an organization for social mobilization.
Your resolve delivered me from a horrible danger, she admitted.	She had told him that determination was what it took to keep her safe from danger.	entailment	Your resolve delivered me from a horrible danger, she admitted.	She had told him that resolve was what it took to keep her away from peril.
His feelings were hurt by your words.	He did not like what you said.	entailment	Your words have rankled with him.	He did not like what you said.
In 1864, Charlottetown, the capital of Prince Edward Island, hosted a conference of Maritime leaders and representatives from Ontario and Quebec to discuss and plan the process of establishing Canada's federal system as a unified dominion.	Charlottetown hosted leaders.	entailment	s great historic moment came in 1864, when its capital, Charlottetown, hosted a meeting of Maritime leaders with delegates from Ontario and Quebec to chart the path to Canada's federal status as a united dominion.	Charlottetown hosted leaders.
Air pollution levels that are lower than the established limit for each health impact examined are considered to not produce that specific health impact.	Air pollution levels can cause hazardous health effects depending on the threshold.	not_entailment	Air pollution levels below the threshold for each health effect studied are assumed not to cause the effect.	Air pollution levels can cause hazardous health effects depending on the threshold.
The passage also collects words.	The broom gathers words with speed.	not_entailment	It sweeps words in its passage, as well.	It sweeps words quickly.
Brendan Gill, the previous leader of the Bexar County group, stated that he now believes the merger is a beneficial development for South Texas.	Brendan Gill earned a profit from the merger.	not_entailment	Brendan Gill, the former executive director of the Bexar County group, said he has since come to see the merger as a positive move for South Texas.	Brendan Gill made money off the merger.
When the travel voucher is being processed, the automated system could compare the information on the actual charges processed by the charge card company with those claimed on the voucher.	When the travel voucher is used, the system stops functioning and displays error messages.	not_entailment	When the travel voucher is being processed, the automated system could compare the information on the actual charges processed by the charge card company with those claimed on the voucher.	When the travel voucher is used, the system freaks out and won't work.
The effect of the amount of mail is more significant in the United States than in France due to the United States having fewer post offices per area and a wider range of mail quantities.	There is a much greater impact of volume in the United States.	entailment	In contrast, the impact of volume is greater in the U.S. than in France because the U.S. has lower postal densities and a greater variation in volumes.	There is a much greater impact of volume in the United States.
This is a demand curve, given the requirement that the discount does not change, in which case no mailers will switch to workshared.	The line graph representing the relationship between price and quantity demanded will remain the same for the next 30 days.	not_entailment	This is a demand curve, conditional on the constraint that the discount remains the same, under which condition no mailers will shift to workshared.	The demand curve won't change this month.
Some people will be amazed by the way language is used and will question the point at which our logical abilities stop and our feelings start.	This text is a straightforward, uninteresting examination of facts and data.	not_entailment	Still others will simply marvel at the use of language and wonder just where our analytical side ends and our emotional side begins.	This piece is nothing but a dry analytical analysis.
The second level of untruth is that Brock supports Hillary with the intention of increasing the attention given to his personal, unique scandal.	Some people believe it is false that Brock protects Hillary to make himself seem better.	not_entailment	The second level of falsity is that Brock defends Hillary only to elevate his own, proprietary scandal.	Some people believe it is false that Brock defends Hillary to elevate himself.
In the fitness environment, visualization, alteration, combination, and choice can work together to move developing groups higher towards the summits of superior fitness.	There are no factors that help evolving populations reach higher fitness levels.	not_entailment	In the fitness landscape, image, mutation, recombination, and selection can conspire to pull evolving populations upward toward the peaks of high fitness.	There are no factors that help evolving populations reach higher fitness levels.
It is unusual that we do not notice one of the most significant aspects of the world right in front of our shared face.	We don't look at that famous building?	not_entailment	Strange, is it not, that we pay no attention to one of the most profound features of the world right smack in front of our collective nose?	We don't look at that famous building?
The primary agency in charge was the FDNY, and the other local, federal, bistate, and state agencies provided assistance.	Many organizations provided assistance to the FDNY during its emergency operations.	entailment	It was clear that the lead response agency was the FDNY, and that the other responding local, federal, bistate, and state agencies acted in a supporting role.	Many agencies supported the FDNY in its response.
Which part of our international relations does Richard Clarke most worry will be given up—not intervening while non-combatants are killed in Rwanda or not intervening while non-combatants are killed in Kosovo?	Clarke knows everything will be fine.	not_entailment	Which aspect of our foreign policy does Richard Clarke most fear will be abandoned--standing around while civilians are slaughtered in Rwanda or standing around while civilians are slaughtered in Kosovo?	Clarke knows everything will be fine.
You are Lord Julian Wade, I understand, was his truculent greeting.	Lord Julian Wade greeted the guests with a friendly and hospitable attitude.	not_entailment	You are Lord Julian Wade, I understand, was his truculent greeting.	Lord Julian Wade provided a warm and welcoming greeting.
The United States did not provide the majority of al Qaeda's financial support, but some money collected in the United States might have been transferred to al Qaeda or its associated organizations.	Britain also gave money to al Qaeda.	not_entailment	The United States was not a primary source of al Qaeda funding, although some funds raised in the United States may have made their way to al Qaeda or its affiliated groups.	Britain also gave money to al Qaeda.
I will not be influenced by Wolverstone's words.	I felt very protected and isolated by the words of Wolverstone.	not_entailment	I'll not be bubbled by what Wolverstone has said.	I felt very bubbled by the words of Wolverstone.
Creating a schedule for parents and children to spend time together is the initial step in applying the concepts and methods I will explain in this book.	In this book, I will describe activities that parents and their children can do when they are together.	entailment	Fashioning time for parents and children to be together is the rst step toward implementing the ideas and practices I'll discuss in this book.	In this book, I'll cover topics that parents and their children can implement while spending time together.
The United States did not provide the majority of financial support for al Qaeda, but some money collected in the United States could have been transferred to al Qaeda or its associated organizations.	The United States may have given money to al Qaeda.	entailment	The United States was not a primary source of al Qaeda funding, although some funds raised in the United States may have made their way to al Qaeda or its affiliated groups.	The United States may have given money to al Qaeda.
Miramar, a pleasant residential quarter with fine family homes, benefits from its position alongside the Isla Grande commuter airport.	Miramar is a dirty and unattractive place.	not_entailment	Miramar, a pleasant residential quarter with fine family homes, benefits from its position alongside the Isla Grande commuter airport.	Miramar is a dump.
Three Japanese banks will join together to form the world's biggest financial organization.	The merger will create an additional bank with a small market share.	not_entailment	Three Japanese banks will merge to create the world's largest financial institution.	The merger will make another insignificant bank.
We are making sure they remain in a state of poverty, subservience and powerlessness.	Our actions prevent them from improving.	entailment	well we're definitely keeping them poor and down trodden and helpless	Our actions prevent them from improving.
The committed professional staff, led by Philip Zelikow, has worked many hours to finish this report, putting other significant projects on hold to focus on this time-intensive task.	The team quickly examined the data to complete the report in a short amount of time.	not_entailment	The dedicated professional staff, headed by Philip Zelikow, has contributed innumerable hours to the completion of this report, setting aside other important endeavors to take on this all-consuming assignment.	The team rushed through the data to get the report done quickly.
The problem of exploitation in apparently voluntary sexual relations has long been with us.	Sexual relationships that appear to be consensual can involve one person taking advantage of the other.	entailment	The problem of exploitation in apparently voluntary sexual relations has long been with us.	There can be exploitation in sexual relations that are apparently voluntary.
I was puzzled by Rebecca Christian's mention in Blessed Be the Words That Bind' [XVI,3] of Vikki Carr's song, `Is That All There Is?	Rebecca said that I did not comprehend the words due to my lack of knowledge and foolish behaviour.	not_entailment	I was puzzled by Rebecca Christian's mention in Blessed Be the Words That Bind' [XVI,3] of Vikki Carr's song, `Is That All There Is?	Rebecca explained that I did not understand the words because I was an ignorant buffoon.
We require these extra resources to sustain our work to enhance GAO's capabilities and serve as an exemplary entity for the federal government and accountability institutions globally.	We want to cause the GAO to become physically disassembled.	not_entailment	We need these additional resources to continue our efforts to further strengthen GAO and be a model organization for the rest of the federal government and accountability organizations around the world.	We want to make GAO fall apart.
Steve, I couldn't even pick up your wallet, Hatch replied.	Hatch angrily said that he couldn't even pick up Steve's wallet.	not_entailment	Steve, I couldn't even lift your wallet, Hatch shot back.	Hatch angrily said that he couldn't even lift Steve's wallet.
Pickard recalls the alleged statement being made at a briefing on July 12.	Pickard recalled the briefing included information about the accident.	not_entailment	Pickard recalls the alleged statement being made at a briefing on July 12.	Pickard remembered the briefing covered the facts of the crash.
The New Yorker has responded with special editions—large books about race or Hollywood or the future.	Despite this, the New Yorker has refused to publish any special issues.	not_entailment	The New Yorker has fought back with special issues--massive tomes about race or Hollywood or the future.	Despite this, the New Yorker has refused to publish any special issues.
Elementary Basque students' notes will now include the use of traditional terms to encourage their academic performance.	Students will have a more meaningful report of their grades.	entailment	The notes of elementary Basque students recover, as of this course, the traditional terminology to boost their effort.	Students will have a more meaningful report of their grades.
When there is a basic and affordable means of transportation, all activities can be started more quickly.	Everything is better when transportation is cheap.	entailment	When there is an inexpensive transport base, everything gets awoken more easily.	Everything is better when transportation is cheap.
Yes, if they provide valuable knowledge and the methods to manage this knowledge are straightforward and easy to understand.	The instruments for processing the data must be very intricate.	not_entailment	Yes, if they become useful information and the tools to handle this information are very simple and its use is intuitive.	The tools for handling the information must be very complex.
I’d like to generate a debate regarding this issue I can’t stop thinking about.	This issue makes him uncomfortable.	entailment	I’d like to generate a debate regarding this issue I can’t stop thinking about.	This issue makes him uncomfortable.
What is frightening is that the political party (PSOE) that treats its workers the worst has caused unemployment and financial hardship for over 3,000,000 people.	The PSOE did not cause over 3,000,000 citizens to lose their jobs.	not_entailment	What is scary is that if the party that spoils its workers the most (PSOE) has sent unemployment with nothing for more than 3,000,000 citizens.	PSOE did not condemn over 3,000,000 citizens to unemployment.
The crisis management extends further than communication; it is starting to touch the central part of this unpleasant olive.	The management of the crisis is only solved with communication	not_entailment	The crisis management goes beyond communication; it is beginning to rub against the core of this bitter olive.	The management of the crisis is only solved with communication
The United Nations' Millenium Goals for 2015 include the objective of combating AIDS, malaria, and other diseases.	One of the goals of the millennium is to combat various illnesses.	entailment	In point of fact, the fight against AIDS, malaria and other diseases is one of the United Nations' Millenium Goals set for 2015.	One of the objectives of the millennium is the fight against many diseases.
I am Colombian, and I would like to say that the Colombian guerrilla group has not been referred to as such for a long period, as their activities do not indicate a revolutionary purpose but instead involve causing fear and suffering across the nation.	The Colombian guerrilla stopped its activities.	not_entailment	I am Colombian, and I would like to say that the Colombian guerrilla has not been called this for a long time, since its actions do not point to the revolution but to spreading terror and pain throughout the country.	The Colombian guerrilla stopped its activities.
But, at the same time, Chávez is the reason for Ortega's potential downfall, because as he is dependent on Chavez if Chavez ever disappeared the foundations of Ortega's project would be destroyed.	The Ortega project will undergo major changes next year.	not_entailment	But, at the same time, Chávez is his Achilles tendon, because as he is Chavez's subsidiary if Chavez ever disappeared the foundations of Ortega's project would be removed.	The Ortega project will undergo major changes next year.
The bank has financial deficits, and the government offers financial support to prevent its financial collapse.	The decision to administer the injection was made at the	not_entailment	The bank has losses, and and the government provides it with tons of money so it does not go bankrupt.	The injection was decided at the
Products should be acquired through methods that do not cause damage to the natural surroundings, human health, animal welfare, or plant vitality. These products should be of superior quality and encompass a diverse range of food options that cater to the preferences of customers.	Many foods are produced which do not conform to the demands of customers.	not_entailment	They should be obtained through processes that do not harm the environment, people’s health, animal wellbeing or plant health. High quality products and a wide variety of food that responds to consumer demand.	Many foods are produced which do not conform to the demands of customers.
In one of his academic papers on the philosophy of history, Benjamin wrote about the concept of history's angelic nature, which was inspired by a Klee painting. This idea has been influential, as it is referenced in Ferlosio's book "On War" and also appears in "The Man Without Content," which discusses other subjects.	Benjamin used to write about philosophy of history	entailment	In one of this "Thesis on the philosophy of history", Benjamin wrote something about the angel nature of history, this image, "originating" from a Klee painting, apparently had great impact, we must say, since Ferlosio mentions it in her book "On war" and it also comes up in "The man without content" covering other topics.	Benjamin used to write about philosophy of history
The reality of our return to Brazil to advocate for it once more increases its significance.	We will compete for the position of world champion.	not_entailment	The fact that we are going back to Brazil to fight for it again makes it even more important.	We will fight for the title of world champion.
In addition to the existing economy, there is a construction and tourism industry that has not led to an adequate increase in the number of skilled employees.	In addition to the aforementioned, the traditional economy and tourism have not resulted in a notable rise in employment opportunities for individuals with advanced skills.	entailment	To this one adds an economy based on construction and tourism, that has not encouraged sufficient growth of highly qualified workers.	And, as if that were not enough, the brick-and-mortar economy and tourism have not significantly led to increases in jobs for the highly qualified.
It is the changing language of the immigrant child who hears Spanish at home and English outside that results in literary writing being a combination, a spoken blend, the invention of a novel language that mirrors everyday life, a spoken encounter transformed into a written encounter, and which, for this reason, is undoubtedly literary.	Children who have migrated have more resources and knowledge to create literature.	not_entailment	It is the dynamic language of the immigrant child who listens to Spanish being spoken at home and English in the street that makes literary writing a mix, a verbal fusion, the creation of a new language that reflects daily experience, an oral experience transmuted into written experience, and which, therefore, cannot fail to be literary.	Migrant children are better equipped for literary creation.
In the majority of situations, the subsequent action appears to be the logical progression in this sequence: bodily.	In other cases, the following action is to consult a psychologist.	not_entailment	In most cases, the next step seems to be the natural one in this spiral: physical.	In other cases the next step is a psychologist.
I’d like to generate a debate regarding this issue I can’t stop thinking about.	The debate it generated turned out to be a success.	not_entailment	I’d like to generate a debate regarding this issue I can’t stop thinking about.	The debate it generated turned out to be a success.
Clean the steaks well, slice the garlics and sautée them in plenty of oil at moderate heat until they are golden.	These are the instructions to make the food.	entailment	Clean the steaks well, slice the garlics and sautée them in plenty of oil at moderate heat until they are golden.	Those are the steps to follow to prepare the dish.
Cleaning is easy and comprehensive, and it results in a spotless and sanitized environment.	Cleanliness does not make a space feel spacious.	not_entailment	Cleaning is much simpler and more thorough and it creates a deep-clean feeling	Cleanliness does not create wide-open feel.
José Luis Rodríguez Zapatero, Jacques Chirac, Gerhard Schroeder, and Tony Blair, representing the four Airbus partner countries and co-financiers of the company's new large plane, the standard version of which can accommodate 555 passengers (with a maximum capacity of 853 seats), were positioned near the base of the tall aircraft.	No European country has co-financed Airbus’ new plane.	not_entailment	Standing at the feet of the aerial giant were José Luis Rodríguez Zapatero, the French head of State, Jacques Chirac; the German chancelor, Gerhard Schroeder; the British prime minister, Tony Blair, representing the four Airbus partner countries and co-financiers of the company's giant new baby, the standard version of which has room for 555 passengers (though it can have as many as 853 seats).	No European country has co-financed Airbus’ new plane.
But the worst thing is that, while the destruction of industrial facilities leads to efficiency and renewal, the destruction of industrial facilities, infrastructure and transport systems is not at all beneficial in terms of energy resource utilisation.	Destroying infrastructures does not benefit the use of energy resources.	entailment	But the worst thing is that, while destroying the industrial fabric leads to streamlining and revitalization, destroying the industrial fabric, infrastructures and modes of transportation is in no way helpful in terms of the use of energy resources.	Destroying infrastructures does not benefit the use of energy resources.
By 2009, Spain's gross domestic product could decrease by more than three per cent.	Spain's economic expectations for 2009 are bad.	entailment	By 2009, Spain could close the year with a negative GDP of over three per cent.	Spain's economic expectations for 2009 are bad.
Philosophy therefore questions science, but it also questions all of us who are more or less unthinkingly surrounded by a world that is mostly the product of science and of technology that is derived from science.	The world is in large part a product of science.	entailment	Philosophy therefore challenges science, but it also challenges all of us who are more or less passively immersed in a world that is largely the result of science and of forms of technology that are offshoots of science.	The world is in large part a product of science.
The text examines the inability to manage the rapid growth of the real estate market.	The cost of property was not made constant.	entailment	It focuses on the failure to control the real estate “boom.”	The price of real estate was not stabilized.
Once they returned to the place they should not have left, the gods were finished.	The importance of the gods is connected to the elevated perspective of the person in the sky.	not_entailment	Once back down here, from where they should have never gone out, the gods are over.	The relevance of the gods is linked to the transcendent vision of the one up there.
Elementary Basque students' notes will now include the use of traditional terms to encourage their academic performance.	Basque students will need to work harder to get a better grade.	not_entailment	The notes of elementary Basque students recover, as of this course, the traditional terminology to boost their effort.	Basque students will need to work harder to get a better grade.
My father's long-term residence in Africa significantly influenced my life.	My father's stay in Africa conditions my life.	entailment	My father lived many years in Africa and his stay there had a great impact on me.	My father's stay in Africa conditions my life.
Spain's government agencies gradually publish their own publicly available data.	Spanish government agencies had already made all the public information accessible to the population.	not_entailment	Spain’s government agencies progressively release their own open information.	Spanish government agencies had already made all the public information accessible to the population.
Returning your personal savings, so that the tax collectors who are supposed to provide 20% must reduce their excessive and unrealistic high taxes on most incomes.	Savings make taxes unreal.	not_entailment	Refunding your own little savings, so that the money eaters who are supposed to provide 20% must deflate their absolutely unreal megataxes regarding most salaries.	Savings make taxes unreal.
I am Colombian, and I would like to say that the Colombian guerrilla group has not been referred to as such for an extended period, as their activities do not align with revolutionary ideals but instead focus on causing fear and suffering across the nation.	The guerrillas train in various camps distributed throughout the country.	not_entailment	I am Colombian, and I would like to say that the Colombian guerrilla has not been called this for a long time, since its actions do not point to the revolution but to spreading terror and pain throughout the country.	The guerrillas train in various camps distributed throughout the country.
The written records of primary school students learning the Basque language will now include historical terms to encourage their academic performance.	Modify the evaluation system for elementary school pupils.	not_entailment	The notes of elementary Basque students recover, as of this course, the traditional terminology to boost their effort.	Change the way primary school students are rated.
From now on, it seems to me that it is difficult to talk about Latin American identities because they are always changing and interacting with artistic influences.	Latin American identity is something difficult to speak about	entailment	From now on, it seems to me that it is difficult to talk about Latin American identities because it is something that is in constant flux, in constant dialogue with the artistic layer.	Latin American identity is something difficult to speak about
Corbacho must be aware, but it is simply an unrefined presentation of statistical data.	Manipulated statistical data would deceive any expert.	not_entailment	Corbacho must know, but it is just crude statistical makeup.	Doctored statistical data would trick any expert.
The government agencies of Spain gradually make their information available to the public.	The Spanish government will publish all the available information they possess.	entailment	Spain’s government agencies progressively release their own open information.	Spanish administrations will release all of the open data belonging to them that they have.
Vegara added that now they are evaluated the legal concerns in order to public the names of the entities and to what extent they had access to the auctions of funds.	Each action will increase the difficulty of obtaining freely available data.	not_entailment	Vegara added that now they are evaluated the legal concerns in order to public the names of the entities and to what extent they had access to the auctions of funds.	Every step will make it harder to access unrestricted information.
My academic career is based on European philosophical principles.	I don’t feel European at all.	not_entailment	I am deeply European in the sense that all of my intellectual life is built around the European philosophy.	I don’t feel European at all.
You are very friendly and talkative with the fans.	You meet with your fans after each concert.	not_entailment	You are very outgoing and open with the fans.	You meet with your fans after each concert.
The banking disaster will be released on DVD and Blu Ray formats to ensure you can view every aspect of the event.	Banks will survive the current financial crisis, as BCE will provide them with additional funds.	not_entailment	In which the banking debacle will be available on DVD and Blu Ray so that you don’t miss any details.	Banks will overcome the current situation, thanks to a capital injection from BCE.
The bad news for public employees will be completed with the approval of the decree for the budget extension, which will maintain their salaries at the same level until there are new financial records.	The salary of the employees will increase after the approval of the decree of the budgetary extension.	not_entailment	The bad news for public employees will be consummated with the passage of the decree for the budget extension, which will keep their salaries frozen until there are new accounts.	The salary of the employees will increase after the approval of the decree of the budgetary extension.
Sui stated that it is important to enhance collaboration with Russian partners in this field, encompassing scientific studies, technological transfers, food manufacturing, and agricultural cultivation.	There will be more collaboration with the Russians in several areas.	entailment	A priority is to strengthen cooperation with our Russian colleagues in this area, including scientific research, technology exchanges, and food processing, as well as agricultural production, Sui said.	There will be more collaboration with the Russians in several areas.
Steve Pinker coined the term "language instinct" to demonstrate the effects of a genetically influenced Language Acquisition Device on human conduct.	Steve Pinker made the phrase "language instinct" well-known in the field of genetics.	not_entailment	In order to show the implications that a genetically determined Language Acquisition Device has for human behavior, Steve Pinker created the expression "language instinct."	Steve Pinker popularized the expression "language instinct" in the field of genetics.
These dates restore and preserve values that are frequently neglected because of our everyday activities.	Daily routine limits the expression of values.	entailment	These dates bring back and enshrine values often set aside due to our daily routine.	Daily routine corners values.
Some hoped that the political issues could be settled through the foresight of experts and the precision of their methods; others lamented the process of technocratic disempowerment that would lead to domination, handling, ruin, and standardization.	Nobody doubted the positive contribution of the experts in the resolution of the political issues.	not_entailment	Some hoped that the political issues could be resolved (or even dissolved) thanks to the clairvoyance of experts and the accuracy of their procedures; others regretted this process of technocratic de-politicization that would result in control, manipulation, destruction and homogenization.	Nobody doubted the positive contribution of the experts in the resolution of the political issues.
The power of the unconscious, as shown by psychoanalysis, and the unpredictable behaviour of subatomic matter, which can take on an infinite number of possibilities.	The behavior of matter is considered "chaotic" for different types of matter.	not_entailment	The strength of the unconscious revealed by psychoanalysis and "chaotic" behavior of subatomic matter open to an infinity of probabilities.	The behavior of matter is considered "chaotic" for different types of matter.
The contract will be valid for the same length of time as the selection or promotion process, not exceeding three months.	The time period of coverage can exceed three months.	not_entailment	In the case of filling a job during the selection periods, the duration of the contract will be the same as the time which the selection or promotion lasts, up to a maximum of three months.	Coverage can be longer than three months.
Michael Jackson's final days were characterized by a chaotic environment, during which he engaged in activities such as reading the Bible and listening to a variety of music, including classical compositions and songs by the Gipsy Kings, despite his usual lack of enthusiasm for the latter.	The author says that Michael Jackson read the Bible during his last days and he heard classical music and the Gypsy King	entailment	According to the author, Michael Jackson’s last days were lived in chaos and were spent reading the Bible and listening to music as diverse as classical and the Gipsy Kings—which he was usually not very fond of.	The author says that Michael Jackson read the Bible during his last days and he heard classical music and the Gypsy King
As a result, one day he becomes very angry, and in his mind, he travels to a strange island where a small group of creatures crown him as their ruler.	He is starting to think of himself as a king, even though he is not one in reality.	entailment	Therefore, one day he explodes, and on the back of his imagination, reaches a strange island where a handful of monsters make him his king.	He is becoming an imaginary king.
There are many different types of non-toxic colognes and cosmetics made from natural ingredients that are environmentally friendly.	The creation of fragrances and beauty products should be banned to prevent the use of poisonous substances that can damage the natural world.	not_entailment	Ecological colognes and cosmetics: there is a wide array with all types of natural contents and essences that are not toxic while being respectful to the environment.	The production of perfumes and cosmetics must be prohibited in order to avoid the usage of toxic products that are harmful to the environment.
However, the duty to halt its progress and stop it from spreading further involves everyone.	Cancer can spread to anyone.	entailment	However, the obligation to stop it in its tracks and prevent metastasis includes us all.	Metastasis can reach us all.
These ones fulfill moderation, they make us happy.	We are happy with them.	entailment	These ones fulfill moderation, they make us happy.	We are happy with them.
